Ticker,MDLZ,MDLZ,MDLZ,MDLZ,MDLZ
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,58.69803164185596,58.93282541046833,57.993654067939175,58.20888137817383,6158900
2025-01-03,58.580635946677056,58.82521107569233,58.228447163787806,58.56106948852539,7035800
2025-01-06,58.29692807574318,58.39475663487381,56.85882511861703,56.95665740966797,9337400
2025-01-07,56.55555883115501,57.827348860310806,56.55555883115501,57.025142669677734,11236800
2025-01-08,56.937095466709685,57.11318987264578,56.418593612822015,57.025142669677734,8332500
2025-01-10,56.27184578203182,56.956656885403724,54.99027077046326,55.02940368652344,11668000
2025-01-13,55.078321476764756,55.45007673919445,54.75548422848884,54.951141357421875,17172000
2025-01-14,54.892446424730274,55.8707470097886,54.76526630373493,55.8609619140625,10313600
2025-01-15,56.08597183975175,56.55555565187676,55.33267997490942,55.41094207763672,8839500
2025-01-16,55.06853543432452,56.8196942057041,54.79460875963484,56.74142837524414,10572800
2025-01-17,57.15231520803976,57.47515617446919,56.565336382430345,56.604469299316406,12663200
2025-01-21,56.213147623090805,56.927306562985535,56.00770540721431,56.3501091003418,11346900
2025-01-22,55.90009174823645,56.50663703256219,54.912009853900635,55.088104248046875,14606200
2025-01-23,55.31311079283145,55.763128124137324,54.89244128211329,55.723995208740234,8942300
2025-01-24,55.62616535536223,56.36967207097256,55.577251078216314,56.17401123046875,7383400
2025-01-27,57.16210239810854,57.99365638685021,56.4675098915671,57.064273834228516,11645300
2025-01-28,56.99578738662827,57.31862835370463,55.381593747007564,55.67508316040039,10769000
2025-01-29,55.6555184177193,56.34032955802814,55.6555184177193,55.89031219482422,9170600
2025-01-30,56.25227903834623,57.1914466274995,55.99792254908732,57.14253234863281,9024200
2025-01-31,55.84139418801654,57.19144618756933,55.84139418801654,56.73164749145508,10121600
2025-02-03,56.73165026902308,56.73165026902308,55.61638451246902,56.16423416137695,8130400
2025-02-04,55.45007514261632,55.792478840310785,54.66743545365725,54.902225494384766,12538200
2025-02-05,53.072800155829356,56.31097603417396,52.7793107631028,56.18379592895508,25658800
2025-02-06,56.800131512857845,57.328410975796686,55.978358898161325,56.57512283325195,14019100
2025-02-07,56.790345618986116,57.53385611950205,56.42837546400674,57.18166732788086,15972800
2025-02-10,57.31862903312492,57.357761950553254,56.26206265408242,57.25992965698242,9511900
2025-02-11,57.15231859907089,59.18718561483674,56.927309911506114,59.13827133178711,12175900
2025-02-12,58.609985261708985,59.35349203081989,58.25779646984367,59.285011291503906,10929200
2025-02-13,59.24588022610435,59.87199195536554,59.07956719881418,59.83285903930664,9058900
2025-02-14,59.891562046413675,60.840511060923234,59.32414592490112,59.500240325927734,10040900
2025-02-18,59.2165315808187,60.106784939311254,58.5219390803079,59.8524284362793,10760300
2025-02-19,59.88177355883989,60.62528403926289,59.72524562589614,60.586151123046875,7674400
2025-02-20,60.38070967377689,61.25139654502366,60.282877382000635,60.82094192504883,9533500
2025-02-21,60.82094547171092,63.45257642918558,60.41984238183955,63.26669692993164,16291500
2025-02-24,63.11017268201504,64.34282604229368,62.679718037183136,63.94172668457031,16269900
2025-02-25,63.804757399264496,64.83196840724223,63.58953010316244,64.45043182373047,12045100
2025-02-26,63.98085649838137,64.07868505913862,61.90685667666017,62.07316970825195,9542900
2025-02-27,61.809027501256615,62.816675848333404,61.720980304682506,62.59166717529297,6944600
2025-02-28,63.305826566356956,63.305826566356956,62.268830390271404,62.836246490478516,8634600
2025-03-03,62.65037432077903,64.57762778931415,62.65037432077903,64.35261535644531,8668900
2025-03-04,64.87111241286468,65.95702670970712,63.7558502913251,63.87324905395508,13041600
2025-03-05,63.83410958295637,65.00806723342848,63.76562884440951,64.861328125,9321500
2025-03-06,64.69500626978474,65.7809203697199,64.26455914587685,65.31134033203125,10713500
2025-03-07,65.2232992227659,68.16798611918719,65.1841663030977,66.27008056640625,13950500
2025-03-10,66.79836474736292,69.06802187388922,66.38748028069624,66.67118835449219,14133200
2025-03-11,66.84728074099542,67.00380495334329,65.84940996489334,66.37769317626953,10840600
2025-03-12,65.27221777507896,65.44831218311336,63.45257804667058,63.569976806640625,8773100
2025-03-13,63.325395428349445,64.08846863352507,63.256914691060366,63.28626251220703,8727900
2025-03-14,62.865594456447006,63.43300309411496,62.67971496640501,62.91450500488281,6784700
