Ticker,CVS,CVS,CVS,CVS,CVS
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,43.260052125140724,43.49979969519071,42.301061844940776,42.406551361083984,10626100
2025-01-03,42.88604721821357,44.36288949413764,42.32983109043434,43.89298629760742,12202300
2025-01-06,44.19027657901159,45.23557253663968,43.8162672738487,43.94093704223633,16462500
2025-01-07,44.42043210636905,44.89992727475236,43.701189353794085,43.9025764465332,10244500
2025-01-08,43.77790880620176,44.286172496276414,43.07784266556991,44.12314224243164,14272800
2025-01-10,44.51632772169929,46.12743170937227,44.43961040042125,46.04112243652344,16826100
2025-01-13,48.28515650270226,49.64692452836705,47.48919651598351,49.40717697143555,25668800
2025-01-14,49.38799869011713,49.94421480026071,48.0837713432705,49.45512771606445,16623500
2025-01-15,49.685289857048474,50.13601282038544,49.31128055885372,50.00175476074219,10969700
2025-01-16,49.32087219841322,50.02093468944756,48.553680677982285,49.82913589477539,14277300
2025-01-17,50.08806103287766,50.72099446057442,49.67569492683579,50.462066650390625,13415600
2025-01-21,50.768946166812775,51.08541472802109,50.068883672989884,50.9703369140625,9962500
2025-01-22,50.5867390609654,51.305981796429364,50.19355317857541,50.816898345947266,10672900
2025-01-23,51.97744996716584,53.03603419569273,51.17137040294112,52.268802642822266,13422100
2025-01-24,52.0454340513037,53.346812841594335,51.7443675093464,52.97776412963867,13122100
2025-01-27,53.414797142615306,55.13378287704772,53.414797142615306,54.5802116394043,11342200
2025-01-28,54.4442424478545,55.959277824550085,54.38597043153919,55.67763900756836,14019700
2025-01-29,55.833027852814524,56.77506804424782,55.15320247530321,55.260032653808594,11615100
2025-01-30,54.99781621141982,55.39599907967651,53.725571581258016,55.18233871459961,11121100
2025-01-31,55.114357050263706,55.66792826963081,54.15288910334953,54.85213851928711,10820600
2025-02-03,54.4636717979033,55.0366633431897,53.65759216448238,54.33741760253906,8638400
2025-02-04,53.9100937461446,54.92011984139682,53.657589074706735,54.72588348388672,7865600
2025-02-05,54.764732948677135,54.7841569554183,53.667300648679436,54.08490753173828,7641200
2025-02-06,54.17231593987482,54.36655231053235,52.288231665423226,52.67670440673828,14970200
2025-02-07,52.968054087535364,53.23027261724599,52.34650070070297,52.45332717895508,5911500
2025-02-10,52.82237419783212,52.851508354171145,51.82206197952228,52.725257873535156,10097600
2025-02-11,52.987477896210144,54.32770099228417,52.50188885146583,53.414794921875,12665500
2025-02-12,58.863105125117535,62.26222846884384,58.756274941554636,61.39788055419922,36562100
2025-02-13,62.01944055361193,65.39913654622279,61.72808783405073,64.45709991455078,20989100
2025-02-14,64.9621056132069,65.05922194593659,63.68986461259507,63.93265914916992,10210500
2025-02-18,62.98089587313062,64.96210000983064,62.65069888843092,63.680145263671875,10141600
2025-02-19,63.903523550123985,65.23403283848803,63.427640934321225,64.4862289428711,9736900
2025-02-20,64.34054794563097,64.39881625952263,63.11686148740103,63.2139778137207,8453800
2025-02-21,61.06767763969675,63.40821662337225,60.232463912744024,61.65038299560547,14117600
2025-02-24,61.74750486402644,62.252514211656525,60.79574707374178,61.203643798828125,8158000
2025-02-25,61.20364572158714,62.087417664829765,60.33929778536364,61.825199127197266,10320200
2025-02-26,61.76692749448258,62.21366854447981,60.78603921472775,62.01943588256836,6558200
2025-02-27,62.18453597245712,63.155714125791135,61.922317426486856,62.6215705871582,8275900
2025-02-28,62.427322197250334,64.00063326355172,62.3496261770502,63.82582092285156,10476200
2025-03-03,63.86467467548319,64.44738006037882,62.46617582413289,63.02946090698242,7078800
2025-03-04,62.47589234286621,63.52476652608593,62.17482207706161,62.35934829711914,7218100
2025-03-05,62.34963261835537,64.48622893758782,62.17482025959545,64.0491943359375,6642900
2025-03-06,63.903524259691416,64.19487325454949,62.631275864123985,63.3693733215332,5966200
2025-03-07,62.55358328493871,65.1563334093907,62.155396718152716,64.41824340820312,10083100
2025-03-10,63.78697221054856,65.04950659165101,63.14599116520418,63.349945068359375,8341000
2025-03-11,63.738418522922395,63.932658596203,62.79638195314089,63.10715866088867,7301400
2025-03-12,62.87406744978985,64.41824446528626,62.58271846859297,62.97118377685547,10330700
2025-03-13,62.543879887801346,65.10778983838868,62.543879887801346,63.8549690246582,7689800
2025-03-14,64.43766338846696,65.31172513236152,63.57331549992141,63.7869758605957,9003700
