Ticker,CL,CL,CL,CL,CL
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,88.9102086408117,89.09572541173873,88.05098679255295,88.4122543334961,3206100
2025-01-03,88.42200698798864,88.63681429804618,87.63113230030007,88.02169036865234,3101700
2025-01-06,87.54325721519314,87.73853251707915,85.29755399712764,85.47330474853516,6077400
2025-01-07,85.86386150772603,86.50827595365959,85.03392286402838,85.32684326171875,4758800
2025-01-08,85.05346708980609,85.52213085435025,84.80936920640045,85.39520263671875,5063900
2025-01-10,84.33093299257433,85.03392858563782,83.84273726309168,84.3211669921875,6711100
2025-01-13,84.62384492230618,85.4244856108623,84.29187540598377,85.04369354248047,8184400
2025-01-14,85.1510882315497,85.70763099975822,84.95581294242471,85.60022735595703,4606600
2025-01-15,86.37159239041354,86.55710916174714,85.49283853840714,85.78575897216797,5125300
2025-01-16,85.5318881396127,86.53757012487875,85.31708083222082,86.46922302246094,3334100
2025-01-17,86.32277247201642,87.45538269091409,86.10796515913695,86.59616088867188,5149900
2025-01-21,86.93001066613441,87.81374661240088,86.26229989467862,86.63543701171875,5048100
2025-01-22,87.83338331113,88.06905122836933,85.83025845516481,85.96772766113281,5323200
2025-01-23,86.10519522369117,86.66489340630987,85.3392932360561,86.32122039794922,6586200
2025-01-24,86.1248298578977,87.09693564363276,85.88916943834276,86.29175567626953,5482900
2025-01-27,87.91193888756615,89.7579667734099,87.35224069678604,89.56157684326172,5164800
2025-01-28,89.10989176550098,90.23910952309029,88.00031674679697,88.23597717285156,4790700
2025-01-29,88.48145923019158,88.97242282263898,87.93158240393365,87.95121765136719,3225900
2025-01-30,88.91350858631692,89.36519418729453,88.32434628881501,89.24736022949219,5415300
2025-01-31,83.8860428824191,85.81061933872533,83.7878516585126,85.13308715820312,11099000
2025-02-03,85.49640078961693,85.69278323251972,84.15115783205188,85.45712280273438,6877800
2025-02-04,85.36874925908822,85.56513169349839,84.59302590760157,84.93669891357422,4073100
2025-02-05,85.06434879000885,85.20181799569987,84.24935492527202,85.05453491210938,4126400
2025-02-06,85.61423530788029,85.62404918603235,83.80748535706513,84.13152313232422,4540500
2025-02-07,84.05295472932325,85.26072830782992,83.88602892730063,85.1919937133789,3988300
2025-02-10,84.95634047346411,85.12327379577812,84.08242583983234,84.40646362304688,4162700
2025-02-11,84.4457421002761,85.82044172579197,84.1315256851448,85.79098510742188,3464500
2025-02-12,85.1919932340486,85.78114796767231,84.8974121214823,85.16253662109375,3411900
2025-02-13,85.2214591018975,86.48814603707825,85.14290313114759,86.16410827636719,3712700
2025-02-14,85.69278211105566,85.87935067342868,84.33772529313615,84.48501586914062,4137100
2025-02-18,84.19042782966898,85.0938064592215,83.77802024380263,84.82868194580078,3827600
2025-02-19,85.45712162937657,86.04627644150561,84.87778818671083,85.84007263183594,4307000
2025-02-20,85.06434917398589,86.67470915492972,84.83851011712113,86.28194427490234,3252800
2025-02-21,86.37031518153445,88.17706511609359,85.91862957077215,87.85302734375,4747300
2025-02-24,87.48971200189078,90.05254259263137,87.44062013680791,88.48146057128906,5409500
2025-02-25,89.01170266561012,90.91663634981215,88.90369007369797,90.62206268310547,5818200
2025-02-26,90.03290831077908,90.33730334869253,88.37344892806878,88.54037475585938,3930200
2025-02-27,88.3341638049349,89.42410351965525,87.98066943845753,88.56982421875,3673800
2025-02-28,89.39465288159451,90.27838885687753,88.43236093261746,89.52230072021484,5332900
2025-03-03,89.34554525000159,91.13265228271484,89.28663202094258,91.13265228271484,4732300
2025-03-04,91.58434966638045,93.49911226439754,89.37501339356012,89.41429138183594,6107500
2025-03-05,88.76621203666187,90.54349770436156,88.70729131597203,90.09181213378906,3446600
2025-03-06,90.14091922889511,91.79055721123797,89.74814685376397,91.60398864746094,4703900
2025-03-07,91.16211316441387,96.56271249855715,91.16211316441387,94.99163055419922,10097300
2025-03-10,95.58078783599134,98.3694649149198,95.43350475261417,95.73789978027344,9791400
2025-03-11,94.48103369978172,94.98181865518436,92.2324195766516,92.39934539794922,6640500
2025-03-12,90.92644843318732,91.52542456661399,88.59928598868599,89.17861938476562,9118300
2025-03-13,89.31609883504352,89.95435302493654,88.64838802725716,88.88404846191406,4396400
2025-03-14,88.10833119748355,88.71712126861149,87.56826823937647,88.19670104980469,4569400
