Ticker,TGT,TGT,TGT,TGT,TGT
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,130.0141374585636,133.01188983484323,129.73639729675637,131.39329528808594,4358300
2025-01-03,131.87215685487436,132.19778725363534,129.43947184282203,130.05242919921875,4025200
2025-01-06,131.2304663722489,133.940891482039,131.2304663722489,133.404541015625,4937900
2025-01-07,134.01751759545996,136.19160716488616,132.50429034374548,133.3662567138672,4166100
2025-01-08,133.12681740433672,133.4045575716136,130.50258567070122,132.37977600097656,4663400
2025-01-10,132.87779237454797,136.95778836117023,132.60003762686725,135.63609313964844,5882800
2025-01-13,134.59215372874652,134.65920301804587,132.04454378838128,132.90652465820312,4061900
2025-01-14,134.2952709535024,134.80287563936082,129.92794744510525,130.70372009277344,4635500
2025-01-15,133.9887681180945,134.4389102719434,128.7977823458102,128.84567260742188,5132600
2025-01-16,123.08964249814247,128.11781400166396,122.51498848068795,127.61978149414062,9900600
2025-01-17,127.27498253837881,128.1273766786221,125.3594887747707,127.96456146240234,6892500
2025-01-21,128.8169441335432,131.89131778059544,128.45299567436302,131.5369415283203,4848900
2025-01-22,131.39330887738828,131.4699303885149,129.68852044348313,130.03330993652344,4012400
2025-01-23,129.76513063216342,131.69976881658573,129.33413284292482,131.4507598876953,6788900
2025-01-24,131.4986383406641,133.0310244496415,130.88568097426182,132.06370544433594,5868200
2025-01-27,132.12117647450384,136.4884998198484,131.67103428097377,136.4789276123047,5331600
2025-01-28,136.95780857131606,138.94992390422217,134.66879403360255,135.0997772216797,4141500
2025-01-29,135.2338453833204,136.2299102402683,134.03666188202675,134.17074584960938,3279200
2025-01-30,134.90823340299664,136.09584485953445,133.53864769116063,134.5059814453125,2792000
2025-01-31,134.18992611512363,134.45809409273048,131.63274350533484,132.0828857421875,4056400
2025-02-03,128.89356966246163,129.72680472500815,126.49920259624128,128.49131774902344,6330500
2025-02-04,129.29582942204976,131.09639824161084,127.64850361139978,129.8704833984375,4376200
2025-02-05,129.47780447122946,130.54090410429836,128.14653687793214,129.49696350097656,4908700
2025-02-06,130.31102938843233,131.25920399690867,128.4625850491262,128.9893341064453,4289200
2025-02-07,128.98935630054547,129.29584234901003,124.78484764131409,125.8000717163086,5756700
2025-02-10,126.21188277876398,126.72907427825211,124.78483466535573,125.7330093383789,4003500
2025-02-11,125.38822504134627,126.87273569049692,124.7082329118636,126.85357666015625,4782600
2025-02-12,124.80583425099213,125.41435043789885,122.49729153465334,123.15411376953125,6429000
2025-02-13,123.26036541024249,125.02799093581525,122.66149569208926,124.19730377197266,5325900
2025-02-14,124.5353622187393,125.02798809716406,123.0188839618879,123.52115631103516,4549000
2025-02-18,123.63706763392838,126.19673540431226,123.39558898620587,125.6751480102539,4901600
2025-02-19,125.56889900513862,127.21095089054529,125.05696544213573,126.2933349609375,3893500
2025-02-20,124.39048049868819,125.7137787788805,123.44388832140326,123.76264190673828,6195900
2025-02-21,121.61830927936983,122.67115264271932,119.70579515313756,120.0342025756836,9052900
2025-02-24,120.07283600716518,122.39103241367684,119.47397369927873,121.48307037353516,8772900
2025-02-25,121.97570096895774,123.3569592148854,121.60865605448207,123.04786682128906,6404300
2025-02-26,123.36661594775501,123.53081966385001,119.43534375499003,119.81204986572266,7714200
2025-02-27,119.52227123208363,120.787624376558,118.19897293880753,118.32453918457031,6164500
2025-02-28,118.61432168313962,120.28534989679761,118.1893168799693,120.00523376464844,8893600
2025-03-03,121.00012188878085,122.72910995267434,115.83248011644211,116.64385223388672,12120900
2025-03-04,113.49496954299315,114.19042925886224,108.69437263088813,113.1472396850586,15623300
2025-03-05,112.40348684880615,112.79950801047687,110.21085653717896,112.58700561523438,7311000
2025-03-06,111.06086804455977,111.94950774067534,109.39949369222138,110.16256713867188,8020200
2025-03-07,109.65061611077253,111.38926524275848,108.27901922295204,111.1574478149414,8050900
2025-03-10,110.78075539116765,111.68871016596711,108.02789269785487,109.9693832397461,8146200
2025-03-11,110.0369915490067,111.08984231502116,108.38527843602124,108.91653442382812,8271800
2025-03-12,109.13869325036603,109.61199673050155,103.37218166306427,103.62332153320312,10434200
2025-03-13,104.10627867264503,104.33809612272307,100.46478372401643,100.93807983398438,9700200
2025-03-14,101.64319703394729,101.69148834254707,99.93352405782436,101.13125610351562,7551800
