Ticker,PM,PM,PM,PM,PM
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,118.26818575349176,119.04793614399931,117.20578346858237,118.03426361083984,3388700
2025-01-03,118.43390081853586,119.22339278488606,118.07326492173,118.93098449707031,3350100
2025-01-06,119.01869824338196,119.80819013202563,117.61515049801461,117.93679809570312,4993600
2025-01-07,117.92705128294998,118.82376648980198,117.58591326546603,118.32667541503906,4933300
2025-01-08,117.8003477217062,118.8335107231617,116.96211861010039,118.77503204345703,3569400
2025-01-10,116.96212166848962,117.58591905582145,114.01857821178326,114.18427276611328,5365200
2025-01-13,114.03807071017427,114.78857439930763,113.18035114598591,114.57415008544922,5676900
2025-01-14,114.79831354928577,115.56831502445026,114.31097140826401,115.4708480834961,3942600
2025-01-15,115.0614804201474,116.17261988698421,114.21350243282424,115.50983428955078,5374200
2025-01-16,115.8314779303372,117.41046916367817,115.31489644431389,116.76718139648438,7855800
2025-01-17,116.81591506226796,119.0966802534897,116.27984314435886,118.5118637084961,5170100
2025-01-21,119.28186035199126,121.04604396790458,119.12591473294009,120.6756591796875,5963600
2025-01-22,120.33452330820863,120.42224876244015,119.27212098599561,119.7789535522461,4431200
2025-01-23,119.80819421780842,122.30339112091563,119.65224859425551,122.25465393066406,5375300
2025-01-24,122.41060424602932,124.1845369061627,122.35212556448698,124.05782318115234,3685700
2025-01-27,125.8999701439462,128.03453115576562,125.37364716209454,127.12806701660156,7645000
2025-01-28,126.11441201747755,127.77137249796597,125.07150745892147,125.69530487060547,5102100
2025-01-29,126.0364157764636,127.42046560247888,125.90970206698648,126.309326171875,3869400
2025-01-30,126.76743134091667,127.18655330266462,125.78300560123182,127.02085876464844,3241700
2025-01-31,126.69921714328522,127.83959598627439,126.23135797244191,126.90389251708984,5331200
2025-02-03,125.64654471880513,127.7226119668283,125.00324957265678,127.08907318115234,5633200
2025-02-04,127.68363114244084,127.84932567296377,126.62122892599933,127.08907318115234,5237700
2025-02-05,127.48870276789268,128.19047661710596,127.01110213169156,127.66413879394531,8403500
2025-02-06,142.245428042253,143.06415927864003,136.47529881473656,141.64112854003906,13753000
2025-02-07,141.8165526105409,141.96274929309786,140.1595924273921,140.754150390625,7207500
2025-02-10,140.35455106868778,142.98619592672497,139.77949085245993,142.8594970703125,5899800
2025-02-11,142.85948633439335,144.76985925177254,141.81656698477636,144.23377990722656,4989600
2025-02-12,142.94721728640994,146.43658921366384,142.79126421343125,146.09544372558594,5268900
2025-02-13,145.3059371000329,146.1734055313647,144.2825156114387,145.4033966064453,5758600
2025-02-14,144.9940258289565,147.39175566346168,144.39946783272768,146.6510009765625,4778200
2025-02-18,146.00771963520083,146.94340828920443,144.88682370128643,145.0330352783203,7986900
2025-02-19,145.2279553029537,146.16365874008144,143.77567039582357,146.00770568847656,7052200
2025-02-20,144.7698614821116,148.6685987788708,144.58466908091512,147.73291015625,7431500
2025-02-21,147.34303044810926,150.72518631044935,147.13835506453984,150.4912567138672,7117200
2025-02-24,150.49125809151604,152.66481490600282,150.27682634414512,152.32366943359375,8687700
2025-02-25,153.16190401450075,154.22430642718115,151.9630463825082,153.434814453125,9348100
2025-02-26,153.4153114331098,154.38025429806402,150.37430100659162,150.82266235351562,6865100
2025-02-27,150.95910922028122,151.95327649858731,149.66277731591904,150.12088012695312,6073200
2025-02-28,151.42696029687812,152.08973851207617,149.44835226812134,151.34898376464844,9654800
2025-03-03,150.90062815491774,154.8286046339908,150.10137990235106,154.77011108398438,5459000
2025-03-04,154.4679614470764,155.47188507163588,149.91618761715566,150.05264282226562,6242900
2025-03-05,149.45808696163104,151.027329279206,148.78555241517006,149.26315307617188,4239800
2025-03-06,149.09746206971408,150.20860160296397,147.80113013550547,149.66278076171875,5354300
2025-03-07,149.2436643493774,150.01367332189093,146.62176104303924,147.12860107421875,7932500
2025-03-10,147.52822106074765,147.82062933479727,145.86150430941652,146.7777099609375,11848700
2025-03-11,147.03115614865015,149.74077774675183,146.33912364093146,148.24951171875,5787200
2025-03-12,147.99605239481758,148.68808475361934,146.50478668771797,147.48922729492188,5180800
2025-03-13,147.87910965231885,148.89277482474387,146.3488480956019,146.6802520751953,6258700
2025-03-14,146.73873271953374,148.1715199121583,146.00771945278666,148.03506469726562,5541400
