Ticker,CRM,CRM,CRM,CRM,CRM
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,334.66800169637645,337.2652744556228,326.2095019935135,329.04559326171875,4807100
2025-01-03,330.4786066781829,331.8120608021251,327.66240647481555,331.2746887207031,4101200
2025-01-06,332.3891800611125,334.9566005546259,325.6820969483946,328.9162292480469,5785300
2025-01-07,328.88641046852604,329.8815282006547,321.3334705258994,323.3435974121094,4643100
2025-01-08,326.13985026340754,327.19467254735315,321.53245066557554,325.303955078125,3788200
2025-01-10,321.19411865674493,321.19411865674493,314.47707440006474,316.29815673828125,6540000
2025-01-13,313.063999674656,318.98493110997913,312.2678873820505,317.5121765136719,4583000
2025-01-14,323.41325151797923,328.3291353705391,319.9303395785549,321.96038818359375,5935200
2025-01-15,328.2694068822589,329.91134488923416,319.21383042412464,319.59197998046875,6042700
2025-01-16,321.36330095052836,326.11996217131673,317.9898374915065,318.4376525878906,5047700
2025-01-17,327.11509616657395,327.9609522972053,321.4926871560916,322.97540283203125,6303600
2025-01-21,327.7917615564551,327.91117082048027,320.87571182062277,325.2442626953125,6397200
2025-01-22,329.6327263734195,333.59330561091235,325.68210803051784,330.99603271484375,7259300
2025-01-23,330.7074209809426,333.8221439499082,327.990769349651,333.02606201171875,4355900
2025-01-24,334.65804557894086,336.9965780744736,330.1700857349396,332.2498779296875,3299100
2025-01-27,330.7372799971864,351.42578396974625,328.8863757875245,345.40533447265625,15661100
2025-01-28,353.03786412744364,365.2977203905647,348.74890965102145,358.1925964355469,12099300
2025-01-29,357.0084374730112,358.42148760734597,349.783873218601,352.27166748046875,6266700
2025-01-30,339.23560063867643,346.30094202379763,338.34000082784826,341.892578125,7591100
2025-01-31,346.30093671188604,347.79361316323036,338.43951347518856,340.0317077636719,5778000
2025-02-03,334.3296858583306,339.7928721659026,329.6426901210616,337.5837097167969,4549400
2025-02-04,343.9325324114185,345.2361340089683,337.01648346622903,342.45977783203125,4965600
2025-02-05,344.0320607956385,346.34074093561804,337.21549910428655,346.23126220703125,4521000
2025-02-06,335.8323337022293,335.8323337022293,327.49324248314963,329.19488525390625,13240600
2025-02-07,330.3790243459719,332.1901455630741,322.13945230292995,324.2391357421875,7626100
2025-02-10,326.31896388583243,330.13025078136,325.0551451477803,325.60247802734375,5981900
2025-02-11,322.43801254044655,324.84621063444416,319.691508455615,322.816162109375,5455900
2025-02-12,317.989840589249,325.40347940821425,315.4224503524242,324.52777099609375,5643400
2025-02-13,324.6073594589283,328.7370912495374,321.64189820438787,328.2395324707031,4312100
2025-02-14,326.4284247328424,326.8961312190405,321.04483487888683,324.9457092285156,5879700
2025-02-18,326.98569317768784,327.5529175061922,321.42298935901675,327.3538818359375,5262100
2025-02-19,328.1300495107757,328.1300495107757,321.2935968368394,322.94549560546875,5012000
2025-02-20,320.66670098292064,322.8659328490711,316.6563780786082,316.87530517578125,6393100
2025-02-21,317.4126875547083,317.4126875547083,305.3617966601304,308.2874450683594,7353200
2025-02-24,309.9891251654903,311.2031699770555,302.038114073373,306.814697265625,6652900
2025-02-25,304.75478535730946,306.91420405573126,299.15226803609437,304.3865966796875,7360100
2025-02-26,311.133492446126,312.16842331980774,304.95382025637224,305.8294982910156,12638500
2025-02-27,294.8931463359584,303.43127236183363,291.24108174545614,293.4601745605469,16691400
2025-02-28,294.51499563462687,300.50562300709583,290.7236000178734,296.3957824707031,10863100
2025-03-03,299.5304176095154,301.5903184675818,289.6389455752495,291.6291809082031,6298200
2025-03-04,288.5841198773477,290.22605793396815,280.86199715854593,285.9371032714844,9096300
2025-03-05,285.8176859029506,291.25101964053096,284.22549162680747,290.54449462890625,6612600
2025-03-06,286.8227608263759,296.62464502976997,283.4393366437888,284.65338134765625,10396800
2025-03-07,281.7973818055181,286.90233971926875,273.8265108443042,281.5088195800781,8248100
2025-03-10,275.61773249722967,276.99099969208663,269.3982472803631,271.5675964355469,10040200
2025-03-11,272.3835983214497,279.08075088985436,270.6719947867316,275.69732666015625,8313400
2025-03-12,280.47390015997763,284.5339665844694,277.7273658804639,283.1905517578125,7463900
2025-03-13,280.6728982339363,281.1804179121525,268.43296428070875,270.4132385253906,9494500
2025-03-14,273.65734668111503,278.5234864408357,271.34866650429154,278.0358581542969,6976900
