Ticker,MS,MS,MS,MS,MS
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,123.0640682194769,123.81309136239845,120.82671364128525,121.38118743896484,5014300
2025-01-03,122.22749602488317,122.56796109917559,120.70026061598688,122.50959777832031,3988400
2025-01-06,124.1535636722333,126.41037034801035,124.1535636722333,125.13605499267578,6665200
2025-01-07,126.11852689549933,126.1282640104598,122.0426611163415,123.42398071289062,7268800
2025-01-08,123.45317591363893,124.51348247548492,122.33449861020686,124.3772964477539,5744500
2025-01-10,122.86950859047157,123.05433565925324,119.93177198489282,120.08740997314453,6873800
2025-01-13,119.11465528660418,120.91427018893465,119.11465528660418,120.61270904541016,5433000
2025-01-14,121.98429293967006,121.98429293967006,120.32087167405044,121.22554016113281,8999900
2025-01-15,126.17691002602018,127.85978338937309,124.96095806110779,126.99402618408203,11349500
2025-01-16,128.74501639404792,132.4414989640623,128.30726175634547,132.1107635498047,16235700
2025-01-17,132.45121016107998,134.31891047059923,130.86560415718515,134.1146240234375,12481500
2025-01-21,132.7235898683895,133.87144138660793,131.60490516640886,133.56016540527344,11213300
2025-01-22,133.52125227912364,134.61075536779347,132.12048803911517,132.2955780029297,7177500
2025-01-23,132.26639901485854,134.43565327721123,132.26639901485854,134.0465545654297,6911000
2025-01-24,132.75276032777936,135.25274961227072,132.75276032777936,134.0659942626953,6475500
2025-01-27,131.57573362295437,133.03487607785414,130.46678595095716,132.92787170410156,6460700
2025-01-28,132.3636804002603,135.058219393297,131.94538518634573,134.76638793945312,5885100
2025-01-29,134.69830980945514,137.62631709646547,134.41620061261176,134.93177795410156,5719800
2025-01-30,136.00180161867874,136.66328724797216,135.10686269694668,136.12826538085938,4545700
2025-01-31,136.2506522929062,136.85777274357295,134.90910615826692,135.55538940429688,5502700
2025-02-03,132.98981052893294,135.1343360791588,131.12927129881794,134.31178283691406,5307000
2025-02-04,134.86994247018688,135.01683658744042,133.45984261936292,133.9298858642578,5997300
2025-02-05,134.6153397245621,136.32899974075553,133.67526822694413,136.04501342773438,5871200
2025-02-06,137.10258750424,138.46372256907148,137.09280054043887,138.15037536621094,4576600
2025-02-07,139.0708579881201,139.0806449519212,136.91654553945747,137.07321166992188,3529000
2025-02-10,137.33759968608967,137.39635134872276,132.79395349201312,134.45864868164062,5517700
2025-02-11,133.96905019115388,135.3399872581659,132.62750390147193,134.92869567871094,5096800
2025-02-12,133.25420723480252,134.42928542315173,132.78417894784877,134.2628173828125,4688900
2025-02-13,135.1049525855612,135.23225782128543,133.51859785946138,133.9984130859375,4699800
2025-02-14,133.61651991401914,136.68152811562382,133.61651991401914,136.06460571289062,5044500
2025-02-18,136.51506304718978,137.8566093127683,136.00585700619527,137.78807067871094,3797000
2025-02-19,137.10259128846124,138.00348506670423,136.36816555100916,137.7684783935547,3623100
2025-02-20,137.33761732877818,138.1405966663921,129.67999755407732,131.5503387451172,8860800
2025-02-21,132.37287054112105,132.78416204953504,128.19155131088218,128.95535278320312,6704100
2025-02-24,130.0031370720373,130.20878284439775,126.22329216989066,127.27108001708984,7784500
2025-02-25,128.3090655378262,128.56366106959658,123.75562467624194,126.90876770019531,7458500
2025-02-26,127.7019496981459,129.4939502748989,127.44733921521929,128.3286590576172,5493600
2025-02-27,129.0630812659468,130.1108541771526,126.13516538571487,126.55624389648438,5538700
2025-02-28,127.2025224702492,130.63964423361514,126.31143066301433,130.3458709716797,7424200
2025-03-03,130.56132112403668,131.20761939815574,125.07761011351494,126.44853973388672,5969400
2025-03-04,123.84376091355566,123.94168284762097,116.77368819795608,119.19239807128906,12996500
2025-03-05,119.46658442333491,121.79715936434116,118.91821560685456,121.18024444580078,7291900
2025-03-06,118.2915102267875,120.57312054111793,116.13719021503228,116.89120483398438,8611500
2025-03-07,116.26448977346203,117.00870244986767,113.05259504779814,116.81285858154297,8513500
2025-03-10,113.59117922061456,113.86536363027547,106.95197183738475,109.37068176269531,16765700
2025-03-11,109.3902679259201,111.15289273760206,108.0487141819752,109.71341705322266,13490400
2025-03-12,112.61193994890179,113.19947901096403,110.21281899924578,111.63270568847656,7925500
2025-03-13,111.63271665810113,112.46506436706059,108.92024077740531,109.36089324951172,7435500
2025-03-14,111.62291284824968,113.36594866134708,110.20302613873945,112.94487762451172,6879400
