Ticker,MA,MA,MA,MA,MA
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,526.1668993775943,527.5290681253927,514.7027376646352,519.4157104492188,2818800
2025-01-03,519.5449515864346,521.4639187176638,514.7226219590077,518.381591796875,1627500
2025-01-06,517.9937975046772,518.3815840954359,508.09073537222696,509.0054626464844,2920800
2025-01-07,510.7454894395487,513.3803750408678,508.1603364088289,508.478515625,2211800
2025-01-08,509.1148127161633,514.4939406287743,508.60774686095647,513.449951171875,2456700
2025-01-10,509.9448899972015,511.57793908230883,501.22208624242165,502.52655029296875,2815500
2025-01-13,498.872106198826,504.0002265621997,497.79670664598643,502.7655029296875,2885500
2025-01-14,504.9163630804046,507.22651679398336,502.0684943637771,506.8580627441406,2704800
2025-01-15,513.3802368570532,521.5454213116817,511.5480251118695,520.1314086914062,3024800
2025-01-16,521.3960326760513,524.8811671846328,518.5083254871432,520.9180908203125,3275600
2025-01-17,522.3519500891334,525.8868598951474,518.7971057815228,522.471435546875,2374800
2025-01-21,525.4188742928941,527.729027987854,524.6720597233309,525.8171997070312,2706900
2025-01-22,525.7573813720163,528.0476002341733,523.4372607589324,524.9408569335938,2037600
2025-01-23,526.80296422571,532.0804414851718,526.4345405814782,531.9509887695312,2196500
2025-01-24,530.7262447222923,533.7832129361533,529.889846452761,531.22412109375,2472900
2025-01-27,531.3137452795305,545.6625150152405,529.4018563275245,545.3140258789062,3074600
2025-01-28,544.2186927271108,549.207423789456,540.3551671480298,545.0352172851562,2727800
2025-01-29,544.6767733532602,548.2714263206122,544.1788969607984,546.4691162109375,2549000
2025-01-30,552.6427706753475,574.4895882210099,552.1747960600119,563.6060180664062,6005200
2025-01-31,561.4253027113806,563.1379682076608,552.2843000865392,553.0709228515625,4505100
2025-02-03,550.2928477159253,562.6003378660283,548.7295085105136,561.5548095703125,3195500
2025-02-04,568.4553818486836,569.5706201589484,555.2118813323415,556.7353515625,2638900
2025-02-05,558.9657449342881,564.4623191990618,557.4223404290478,563.884765625,2404700
2025-02-06,563.7255049116309,567.3301249770107,562.1422313098233,564.7510986328125,1738400
2025-02-07,565.6472463720127,567.6287844159149,559.3939513506915,560.3598022460938,2008300
2025-02-10,562.8492248721747,564.8606648144847,558.6172758129854,563.0881958007812,2357700
2025-02-11,562.5903211173041,564.0242074691391,556.8448084585888,562.3015747070312,1847800
2025-02-12,559.6229998037182,562.3513525514447,557.0639080023167,562.2019653320312,1722200
2025-02-13,563.1977787645687,564.9802152345445,559.0853146968728,563.90478515625,1709500
2025-02-14,563.6060190521214,566.8222809595072,561.7339990356569,562.361328125,1927400
2025-02-18,562.5007425503723,566.2148807919957,559.135093454538,566.1949462890625,2064100
2025-02-19,565.0797291978369,568.2761174658987,564.2433309063329,566.08544921875,2459100
2025-02-20,565.7369452739207,566.0854344236183,556.6655915950377,560.8876342773438,2181900
2025-02-21,559.045423356651,562.4011050472905,554.216047138634,555.14208984375,2256100
2025-02-24,556.0582070900911,559.0753671286798,554.4251579756587,556.6257934570312,1752500
2025-02-25,560.0511868136214,563.6358724523609,550.3425973681157,561.6344604492188,3609500
2025-02-26,560.200570366095,564.2731651081727,557.2232185705475,558.8861694335938,2028000
2025-02-27,563.167896113429,572.2591236799066,561.6045569861544,562.4210815429688,2436500
2025-02-28,564.8904419022816,573.9816680679767,561.6044704537461,573.8621826171875,3205400
2025-03-03,574.877947556803,579.7570995270543,567.5790629406755,572.4781494140625,3092600
2025-03-04,568.0371748813301,570.7655278806423,549.6655232196288,552.7125244140625,3318100
2025-03-05,550.233095171232,558.6073494158802,548.9784369283642,555.9287719726562,2795400
2025-03-06,546.1704012798933,553.3198989661615,542.3765856090591,547.4848022460938,3133200
2025-03-07,544.7464675778978,548.0424067695831,534.00231721881,544.44775390625,3161300
2025-03-10,535.8643385330191,546.2300973738079,529.7603696345525,534.8386840820312,3893400
2025-03-11,534.9183778755743,535.7647433843828,520.0318624301442,523.5667724609375,4582600
2025-03-12,528.2568070095821,530.4474752391634,517.0545884473286,522.4117431640625,2810800
2025-03-13,522.2723409176701,526.2852538535057,515.5112013197286,517.6221923828125,2375800
2025-03-14,520.3803541436796,526.1656750934656,518.7373985991894,525.3989868164062,2369500
2025-03-17,521.0275998827002,531.2141305477354,519.2650981567323,529.73046875,2544800
