Ticker,C,C,C,C,C
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,69.02501511879373,69.23907752452496,67.76983708618684,68.05200958251953,9827400
2025-01-03,68.9666259518454,69.17095621243041,67.96443149226252,69.08338928222656,11342900
2025-01-06,70.28019311489865,71.99267751297278,69.93963523862506,70.77642059326172,19199700
2025-01-07,71.9051100725724,72.28458163497942,70.77642009576161,71.69104766845703,18309400
2025-01-08,71.46724513225672,71.48670939778509,70.72776635790788,71.28237915039062,13742800
2025-01-10,70.50397094197584,70.50397094197584,69.10284077956825,69.47258758544922,13217700
2025-01-13,69.0639298119224,71.02939754620125,69.0639298119224,70.80560302734375,16720600
2025-01-14,71.34076599322091,71.99267792428422,71.16562469884417,71.51590728759766,19576000
2025-01-15,74.14301398012243,77.11068363842303,73.81219568297031,76.15713500976562,44903000
2025-01-16,75.72901911641479,76.63391451962713,75.66090902900925,76.39066314697266,21463100
2025-01-17,76.42958842971,78.27829302405071,76.05011686152906,77.8307113647461,22084800
2025-01-21,78.25883021571133,79.64049620089672,77.76259534765872,79.4653549194336,21297400
2025-01-22,79.27076272719812,80.05889484104148,79.03724347558585,79.48482513427734,14725700
2025-01-23,79.78644750445382,80.53565844031507,79.59184938235654,79.7669906616211,14435200
2025-01-24,79.29021177013497,79.90320995253683,79.14425946844679,79.28048706054688,16025200
2025-01-27,78.57019979377013,79.21238703335594,78.05450802931428,78.88156127929688,12782800
2025-01-28,79.02750451475463,79.20264579419492,77.33447709579346,77.78205871582031,16521700
2025-01-29,77.7236836149462,79.39725441229034,77.7236836149462,78.45343780517578,10573000
2025-01-30,79.09560999628006,80.38970896218801,78.80370540638852,79.65022277832031,10775500
2025-01-31,79.48482556196534,80.1172732291748,78.88155944999086,79.23184204101562,12818300
2025-02-03,76.90984463098974,78.29128619254335,75.33245741063385,77.99736022949219,20998500
2025-02-04,78.48722991659871,78.61459384419584,76.77267928237616,76.89025115966797,13417700
2025-02-05,77.43891243412239,77.98756629800087,76.6257236895537,77.85040283203125,10736100
2025-02-06,78.61460215989466,80.82882416326404,78.3108841216569,80.66226959228516,19545700
2025-02-07,80.76023779423721,81.23051785130953,79.70211327196044,80.06462097167969,10310300
2025-02-10,79.97643607170758,80.16258967479322,78.44803904592342,79.09467315673828,10681600
2025-02-11,78.83014533793884,79.87847037415949,78.59500903795102,79.46697998046875,9993800
2025-02-12,78.54600987534016,79.64332494085949,78.38925485160732,79.62372589111328,10448100
2025-02-13,79.75110287382701,80.46631126784544,79.14365936156861,80.43692016601562,11108400
2025-02-14,80.7406477780724,82.95486222229182,80.56429368761837,82.89608001708984,16035000
2025-02-18,82.2396469449122,83.02343702329142,81.85754769329724,82.91566467285156,17907000
2025-02-19,82.3572113121643,82.52377333767956,81.75956735991156,82.2396469116211,9710800
2025-02-20,82.14167232768477,82.35721704347718,79.3004228190699,79.69231414794922,15160300
2025-02-21,80.1430019405981,80.25077429756602,77.99736180167925,78.03655242919922,14907800
2025-02-24,78.59500460122675,79.05548512405939,75.5088118730667,76.94903564453125,12830000
2025-02-25,77.5760704070181,77.95816967442721,74.91116758570998,76.55713653564453,14501400
2025-02-26,77.20376486907604,78.4676269818715,76.88044782866454,77.46829223632812,13115000
2025-02-27,77.94837189701902,78.74196902584403,77.06660893697686,77.27235412597656,8485900
2025-02-28,77.61526642122276,78.35007390568293,76.03787908992705,78.33047485351562,21233600
2025-03-03,78.37946396705193,78.80075388486875,74.70542659359637,75.6067886352539,20121100
2025-03-04,73.0300545410642,73.34357204682088,69.19925527634182,70.88441467285156,33983900
2025-03-05,71.12935514189799,72.04051662095094,70.24758476300039,71.48206329345703,17214200
2025-03-06,70.35535612256318,70.92360896705458,68.62121396419494,69.15027618408203,18550800
2025-03-07,68.75838030543223,69.30703412327871,66.69112148838506,69.03270721435547,18212900
2025-03-10,67.10261938655408,67.33776317047571,64.71205071547226,66.04450225830078,22378400
2025-03-11,65.92692996734857,67.08302740266339,64.82961474023415,66.13267517089844,21269200
2025-03-12,67.39654326083891,67.71006082136576,65.51543789767783,66.57355499267578,16131100
2025-03-13,67.01444673088798,67.7394547179681,65.37827712800978,65.86814880371094,17125200
2025-03-14,66.5931595124597,67.60229400967174,66.21106018778426,67.38674926757812,12727300
