Ticker,MDT,MDT,MDT,MDT,MDT
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,78.48539708629878,78.77835788066997,77.98735405022819,78.33891296386719,5574900
2025-01-03,78.6123510147425,79.10062648688375,78.10454780193227,79.05179595947266,5394700
2025-01-06,78.63188180918296,79.23734610032939,77.79205481893726,77.96782684326172,7886200
2025-01-07,78.48540684950599,79.16898957189849,77.87017494885987,77.99713134765625,7363100
2025-01-08,78.5244664204485,81.26857223915415,78.46586829640117,80.7412338256836,11153800
2025-01-10,80.0771828712628,80.55569078033112,78.62212395156935,78.76860809326172,7068200
2025-01-13,79.01274624792762,80.1943720827369,78.13384884379464,79.87210845947266,6487700
2025-01-14,81.43458356034377,83.30955960626149,81.161150484959,83.25096893310547,13399700
2025-01-15,81.95215461196544,83.87596119141513,81.95215461196544,83.39745330810547,12261100
2025-01-16,83.42674407677215,85.17477109003953,83.03612222483946,85.11618041992188,7267500
2025-01-17,85.20407120612167,86.55170884789219,85.00876399444219,86.01461029052734,9578900
2025-01-21,86.37592968050994,86.6200674212129,85.71187472777818,86.30757141113281,8376600
2025-01-22,86.17084951205715,86.38569190259012,85.37007807038371,85.78022766113281,5222900
2025-01-23,85.80953551447527,87.23529902163564,85.74117724531322,87.15717315673828,5694300
2025-01-24,87.02045744271659,88.18255547997204,86.73725676765045,88.07513427734375,7349500
2025-01-27,88.53411338159279,90.3114358261911,88.23137751843832,90.29190063476562,9164300
2025-01-28,90.2918985406043,90.89736280237804,89.52042240802712,89.82315826416016,7961100
2025-01-29,90.36025755630995,90.79970995091941,89.21769474121172,89.26652526855469,5514700
2025-01-30,89.5692583988877,90.64346300263442,89.31535305420445,89.83292388916016,5101600
2025-01-31,89.56925840810253,89.94034510383712,88.5243491420016,88.69036102294922,7215400
2025-02-03,88.15325256025483,89.07121285388585,87.15717385159618,88.40715789794922,5800300
2025-02-04,87.75286565883071,88.97355430036743,87.59661393647775,88.83683776855469,5196300
2025-02-05,89.12980568987035,89.91104946303854,88.55364418129072,89.53996276855469,5181100
2025-02-06,89.12004584468924,89.78410081897253,88.6317703474366,88.69036102294922,4509300
2025-02-07,88.98333290052094,89.03215598192521,87.45014807515612,87.89936065673828,6349400
2025-02-10,88.1727860918237,88.80754569886257,87.89935301814356,88.70988464355469,5029300
2025-02-11,88.70988819176361,89.32512008264437,88.37786443201247,89.06144714355469,6534800
2025-02-12,88.47551070870648,89.49112454632798,87.80169564902376,89.20792388916016,7053200
2025-02-13,89.12980170551583,90.31143490849588,88.7391872868861,90.03799438476562,5991000
2025-02-14,90.2528432091492,90.8680751182165,89.70597702374984,90.63369750976562,10855400
2025-02-18,85.89742330994027,86.36617105857452,83.06542397773624,84.05174255371094,14516700
2025-02-19,83.98337949555496,85.1259422889461,83.69041123804797,84.95993041992188,8972100
2025-02-20,84.73532881299016,86.20015534447352,84.32517917229315,85.87789916992188,5804300
2025-02-21,85.58492351718985,89.0126193919794,85.52633284513114,87.83099365234375,11763000
2025-02-24,87.4403785715181,88.93450042887537,87.030228934301,88.05560302734375,7158500
2025-02-25,88.24114860063831,88.71965650257306,87.12788106116155,88.35833740234375,6290300
2025-02-26,88.3387972278532,89.05168269299223,87.88958468905712,88.45598602294922,5108500
2025-02-27,88.18255105509479,89.13956678440717,87.98723640080188,88.61222839355469,4735900
2025-02-28,89.40324804735235,90.2333149166976,88.18255928346439,89.86222076416016,7685300
2025-03-03,90.4969700130581,92.70397713071264,90.13565094877958,92.08875274658203,9306100
2025-03-04,92.52820245541359,93.32897393589985,90.7704077663011,90.8485336303711,7644300
2025-03-05,91.39540521039926,92.50868021333831,91.08290918603706,91.85438537597656,5820600
2025-03-06,91.54189425223574,91.77627187092429,89.93058351359518,90.94619750976562,5339800
2025-03-07,90.42862441800115,92.8016437328317,90.27238012654165,92.28407287597656,7795900
2025-03-10,92.3621953430858,93.99303372452552,91.35634900543727,91.6004867553711,10771700
2025-03-11,91.209863055191,91.73720147864144,90.49697756131555,91.0926742553711,7457600
2025-03-12,90.71181143305856,90.81923262682858,88.2313712823098,89.36417388916016,6301000
2025-03-13,89.61807393260972,90.56532950950378,89.41299913511082,90.16494750976562,6737600
2025-03-14,90.14541532621905,91.11220612588151,89.95987571305038,90.8875961303711,7788600
