Ticker,LIN,LIN,LIN,LIN,LIN
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,416.68890053828153,418.6398872113982,409.77626095744205,410.17242431640625,2110900
2025-01-03,412.1332659460604,413.95550242614144,409.1127169885985,409.50885009765625,1995900
2025-01-06,411.4202264083444,414.34176484206887,408.142177232847,408.924560546875,2630600
2025-01-07,408.0530560029133,414.95578227740333,406.7259934047313,410.94488525390625,3209100
2025-01-08,412.7175672485362,416.3620704288701,410.20210538532393,415.9560241699219,2252300
2025-01-10,411.59848740148715,413.8565096889714,407.74604968172656,410.152587890625,2642600
2025-01-13,411.7767582950596,418.60023955195265,409.70693482845707,417.3623046875,2824500
2025-01-14,418.20411873046544,423.6807415228348,416.65917839206605,423.165771484375,2344300
2025-01-15,429.0385037227097,429.73175931812557,422.29423717300836,423.8490905761719,2202300
2025-01-16,423.7896848437691,428.5730518820714,423.5222715691866,428.3155517578125,1511600
2025-01-17,435.75307863567946,435.75307863567946,429.3455264750022,431.79168701171875,2412200
2025-01-21,435.4262821258147,439.7838069176148,435.19849122453365,438.1893310546875,2281900
2025-01-22,441.36837834958664,444.3592182388269,438.19925286220337,438.3280029296875,2643900
2025-01-23,438.4468147252114,438.86277413301815,436.1789096171384,436.5750427246094,1811300
2025-01-24,438.5954002717051,439.0905742562913,434.8023808479042,435.0103454589844,1547800
2025-01-27,434.10909180745404,437.1395539423084,430.7914203211734,435.24798583984375,2833400
2025-01-28,435.7530794366563,436.159125705621,431.03901372411167,431.3064270019531,2158400
2025-01-29,431.0192099297405,434.7825198228386,430.2962450896949,434.08929443359375,2631100
2025-01-30,434.7627303106998,445.32975575556,434.7627303106998,442.0715026855469,2545900
2025-01-31,440.130422084006,443.8442266673889,434.40621249507257,441.8139953613281,2816500
2025-02-03,440.73454093165543,450.4201425408251,436.20864360873645,449.825927734375,2701200
2025-02-04,451.53925900344535,454.4013489407012,448.45926107932996,450.4102478027344,2503800
2025-02-05,449.02370881023916,450.67760301663253,446.5577523369455,449.3208312988281,2696500
2025-02-06,445.6862604711677,457.055465147618,445.6565512433389,456.23345947265625,2423300
2025-02-07,452.1334453407182,453.73780412649825,448.1324313037595,450.6578063964844,1668100
2025-02-10,450.430033170224,456.66921276844266,449.02372587270753,456.4117126464844,1876700
2025-02-11,455.8076164024998,458.07552153319443,454.88660011826374,456.2928771972656,1587700
2025-02-12,452.9058894608365,455.69867767260587,450.1626065527366,454.1339111328125,1695200
2025-02-13,453.14360984415526,458.13497202152485,452.9653544650045,456.59991455078125,2265300
2025-02-14,456.59988615436873,459.62046537622484,452.29189697770437,452.5889892578125,1705500
2025-02-18,450.4795657176536,461.53185243051814,445.7060813606329,461.3337707519531,2808500
2025-02-19,456.372141987372,461.14562628055916,455.6788863446859,457.6100769042969,1883800
2025-02-20,455.2629640726164,457.6695023342528,453.97549360559,457.44171142578125,1335400
2025-02-21,459.1054737784098,460.6801535617153,453.10396782297425,453.579345703125,1939600
2025-02-24,454.5795953975548,459.7195033728328,451.618434649999,454.1042175292969,2108300
2025-02-25,454.85688766090533,464.463243992519,454.85688766090533,462.97772216796875,2342100
2025-02-26,461.8586332484821,462.9975575146386,456.8177660521128,457.0950622558594,1576100
2025-02-27,459.06588521261665,463.7106193946173,455.4412081835467,455.83734130859375,2071000
2025-02-28,460.5811226136977,463.81954948950676,456.18397535271595,462.5419921875,2332900
2025-03-03,464.57218846505265,467.67198211117255,456.53056865512895,457.7882995605469,3072900
2025-03-04,464.0770563432743,464.75048569709685,455.4412209930722,456.89703369140625,5027000
2025-03-05,457.47137157986157,465.8794453133711,456.104686721686,463.7303771972656,2385700
2025-03-06,462.18546667736246,465.6120619697391,458.87770829802486,461.66058349609375,3712100
2025-03-07,461.67051138626397,465.46353068928374,458.94705455776284,464.2453918457031,1824000
2025-03-10,461.49221877363726,466.6321269096908,453.59914462172054,457.60015869140625,3129200
2025-03-11,457.19411029721704,457.4416972767155,446.7657479296635,449.6872863769531,2845700
2025-03-12,448.9346058979801,450.55879096742154,444.4879534808461,446.8152770996094,2652600
2025-03-13,446.58672089825865,452.45920474842995,444.65903461280124,450.3824768066406,2213400
2025-03-14,451.67421103929274,455.09237453155015,449.97507551151944,452.6082458496094,1911900
2025-03-17,449.46829206401594,459.3451898767703,449.46829206401594,457.3876953125,1890200
