Ticker,NKE,NKE,NKE,NKE,NKE
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,74.49989586865222,74.92979929247802,71.55897985929364,71.97911071777344,10883400
2025-01-03,72.22337250360609,72.4871795873528,71.33426287054905,71.62737274169922,10083500
2025-01-06,72.05727630191379,72.6141932578725,70.31813238521055,70.34744262695312,14947300
2025-01-07,70.73826894406336,71.75439964729752,70.32791061803144,70.43537902832031,10463500
2025-01-08,69.9175395605134,70.17157408071901,69.38016773249316,69.65373992919922,11855000
2025-01-10,70.2008861174416,70.72849284784262,69.45832766862348,69.56580352783203,15677400
2025-01-13,69.53649624911252,70.93367502409349,69.15544816996169,70.42561340332031,14584300
2025-01-14,70.4158436466706,70.55262975980861,68.91118894786821,69.5364990234375,16732900
2025-01-15,70.33767931542387,70.59171386775309,69.2140726903398,69.43879699707031,13468100
2025-01-16,69.27270320417148,69.59513082628007,68.70601358730508,69.4778823852539,13694600
2025-01-17,69.79052765478632,69.87845838251347,69.21406555175781,69.21406555175781,9711300
2025-01-21,69.66352559118583,71.58830389537435,69.50719433265913,71.4906005859375,14199900
2025-01-22,71.69576680487742,72.9854696373236,71.33426387991537,72.34062194824219,13029300
2025-01-23,71.65668472662351,72.7900637946363,70.70895458713706,72.58488464355469,10677400
2025-01-24,72.36993260733378,72.54580151523903,71.56875368338396,71.88140869140625,8106700
2025-01-27,71.75440155794804,74.10908316655028,71.73485642516864,73.84528350830078,11665400
2025-01-28,73.60101400528968,73.86481363657444,72.45786984591696,72.68258666992188,8694400
2025-01-29,72.74120995450352,75.34016083155677,72.61419641666605,74.82232666015625,11764800
2025-01-30,75.08612383750534,76.96205387190551,75.08612383750534,76.53215789794922,10902100
2025-01-31,76.31720622201402,77.0499920909073,74.9981931488628,75.13497924804688,13098000
2025-02-03,73.18088646480382,74.9298030349302,71.53944575600188,74.83209228515625,18539200
2025-02-04,75.77005788709954,76.36605762583142,74.29471366054334,74.9591064453125,11943700
2025-02-05,74.54875557007536,75.0275069398654,72.69236312354514,72.85845947265625,9807400
2025-02-06,73.51308195897461,73.66941320113759,69.98593844122456,70.09341430664062,16059400
2025-02-07,68.94049256326588,69.18475452099206,67.04502484022343,67.10364532470703,27428700
2025-02-10,67.76804531186333,69.32154794917138,67.53355589485695,69.31178283691406,16201300
2025-02-11,68.95026736803803,70.33767354395282,68.89164688165063,69.70259094238281,9636600
2025-02-12,68.97956813993085,70.78710494676493,68.71576853312521,70.60147094726562,10810900
2025-02-13,70.78711982777938,71.91072644259641,69.98594082017043,71.52967834472656,9739600
2025-02-14,71.4905923385735,71.81301993137514,70.67964080066047,71.36357879638672,9254400
2025-02-18,72.79006863013865,75.89708125373069,72.79006863013865,75.80914306640625,28252400
2025-02-19,75.0568135203536,75.89707524509944,74.34356532914997,75.01773071289062,14184100
2025-02-20,75.14475768938892,75.49648807602034,74.58783322936974,75.45741271972656,10689600
2025-02-21,75.62350810419545,76.19996278068534,74.11885346052712,74.7441635131836,12823400
2025-02-24,77.06953982267767,79.22881490355334,76.94252627237357,78.43740844726562,24553500
2025-02-25,78.46671165443279,80.07884212257349,78.21268457661165,79.84435272216797,15522500
2025-02-26,80.21563116426844,80.54783132676579,78.98454872206946,79.30697631835938,16058100
2025-02-27,79.61962638548864,79.61962638548864,77.63622046319601,78.18336486816406,11651900
2025-02-28,77.43104179511595,78.18336535664747,76.38560089807247,77.6069107055664,14113800
2025-03-03,78.54962069237831,79.50215513408611,76.48743681936811,76.99807739257812,8628800
2025-03-04,76.30085852682218,77.23375643834176,75.3974267006872,75.92770385742188,10034100
2025-03-05,75.9375296398341,76.89987870028664,75.08319292974781,76.40888214111328,9853600
2025-03-06,75.35814968212574,76.9195226336152,75.35814968212574,76.31068420410156,9623700
2025-03-07,76.08482221994754,77.57744830864111,75.58400368373594,77.1748275756836,9294300
2025-03-10,76.11428970855589,78.74603160024934,74.6903951728933,75.02427673339844,15822600
2025-03-11,74.54309247033375,74.71002948279767,72.29432759392641,72.83441925048828,12837000
2025-03-12,73.02101175229546,73.15849019491142,71.91136218203432,72.25505828857422,12304900
2025-03-13,71.86224732863836,72.60856409901727,70.37943581554669,71.33197021484375,10195900
2025-03-14,71.96044512615869,72.21576540138476,70.03573976432722,70.36962127685547,12183000
