Ticker,UPS,UPS,UPS,UPS,UPS
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,118.86969086746205,119.0381148321826,115.594785994683,115.903564453125,3050500
2025-01-03,115.98776992476274,116.33397671533268,114.8649482809171,115.82870483398438,3490400
2025-01-06,116.68017963083227,116.96088861900833,115.84741867496301,116.22169494628906,5049200
2025-01-07,117.12930374162558,118.90711054216624,116.034551620093,116.94216918945312,3725300
2025-01-08,117.81236394111393,118.6264071338069,117.16673757003255,118.60769653320312,4536300
2025-01-10,116.97023550918897,117.36322234140599,114.9959353404041,115.35149383544922,5231800
2025-01-13,115.40764249236906,117.11995158389982,113.74212061092533,116.97024536132812,6939200
2025-01-14,117.30709736686883,117.83107987218912,116.54918594170059,117.74686431884766,4247600
2025-01-15,119.30010316171874,119.73051836353744,118.43927275808134,119.27203369140625,4315900
2025-01-16,121.18083041384668,122.2568791385048,120.48843110180002,121.58318328857422,5471300
2025-01-17,121.77967511649629,122.18202800950633,121.10597923595368,121.38668823242188,4261100
2025-01-21,122.03230706204293,124.9797299257254,121.77966755316689,124.32473754882812,5282700
2025-01-22,124.12824810756798,124.84871685994797,122.80892593380506,124.02532196044922,4420700
2025-01-23,124.39023465972568,125.07328218629094,123.52003830729522,125.01714324951172,3282600
2025-01-24,124.82065645371394,125.28850001505087,124.00661322577244,124.47445678710938,3212300
2025-01-27,125.2884897315955,128.05812966946215,125.13879065511856,127.49671173095703,4944400
2025-01-28,127.0288693075047,128.17977466365662,126.64524846623878,126.71073913574219,3094500
2025-01-29,127.28151980824227,127.79615058788733,125.0358763956399,125.17622375488281,4262100
2025-01-30,109.84031121682094,110.39237033363422,102.5700253844204,107.51045227050781,41170400
2025-01-31,107.61337206587677,109.09175221305547,106.06948697053222,106.88353729248047,15844600
2025-02-03,105.1057372389537,105.3209412816026,102.36417365695505,104.13262176513672,12635200
2025-02-04,104.17938800477627,104.93729933530318,103.12206425607681,104.58173370361328,9347800
2025-02-05,104.53496044152453,105.42386030116457,103.87062347949528,104.70338439941406,7122900
2025-02-06,105.12443700794327,106.54668529955255,105.04958033181109,106.17240905761719,6318200
2025-02-07,106.54669550296776,106.6309039176365,105.37708659661594,105.8355712890625,4830700
2025-02-10,106.21920023685202,107.38880915353951,105.50808315538896,106.81804656982422,6101500
2025-02-11,106.66832497583881,107.33266193263773,106.12562476705352,107.16423797607422,4589100
2025-02-12,106.0601271809013,107.4542989061594,106.00398824150423,106.91160583496094,5172900
2025-02-13,107.17359601025298,108.66133499936426,106.99581318561992,108.20285034179688,5854000
2025-02-14,108.5958387056881,109.25082393578774,108.2215695898892,108.74555206298828,5942300
2025-02-18,108.71709087633032,109.88445494202958,108.11916598525623,109.54278564453125,5407800
2025-02-19,109.10620098231442,109.56176242238801,108.43235526706862,109.1441650390625,4252000
2025-02-20,109.11569946048085,110.69116807218933,109.00180728433534,110.6626968383789,5801200
2025-02-21,110.52032566210221,110.89995898167304,109.3909257685307,110.40644073486328,6459900
2025-02-24,110.64371366670585,112.06733322317636,109.96037512105543,110.24510192871094,6269900
2025-02-25,110.52981937684712,112.31408658003106,110.52981937684712,112.0958023071289,4985600
2025-02-26,112.08630512333303,112.53237371700547,110.77657781415053,110.93791961669922,3445300
2025-02-27,111.04232592050369,112.68423700259075,111.03283309596348,111.64024353027344,4821600
2025-02-28,111.80158446223628,113.53839469994413,111.80158446223628,112.96894836425781,8754900
2025-03-03,113.71873055043464,114.81966648955091,112.72219395867951,113.18724822998047,5165100
2025-03-04,112.45645015060232,112.61779920057275,110.66269012040101,110.843017578125,5387000
2025-03-05,111.49788110016881,113.50043251139203,111.34602487967433,112.95945739746094,6812000
2025-03-06,112.88354319190273,114.44003333933883,112.15274775921293,114.36410522460938,5742100
2025-03-07,113.50992565352713,115.4650346729058,113.24418450782014,115.42707061767578,5635800
2025-03-10,114.87660090919957,117.40114899544332,113.93701408966061,114.47798919677734,6279900
2025-03-11,114.14581146889172,114.44003109747878,110.03630190208833,110.4349136352539,6498300
2025-03-12,109.99833294344727,110.15967474621893,109.09670293091142,109.39092254638672,4970900
2025-03-13,109.87495394260645,111.48839378096065,109.10620170087921,109.36245727539062,4629100
2025-03-14,109.89393623612396,110.96639366018688,109.22957612029734,110.81454467773438,4020700
