Ticker,KO,KO,KO,KO,KO
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,60.56318147989654,60.951719821466746,59.85410215610072,60.06779861450195,12991000
2025-01-03,60.1260838245069,60.300925717409136,59.85410548811652,59.98038101196289,10403200
2025-01-06,59.73754657572117,59.80554023474309,58.921618962081624,59.06732177734375,17924200
2025-01-07,59.358721268550696,59.951240591768816,58.88276196953695,59.096458435058594,17799600
2025-01-08,59.24216066188867,59.999806369832584,59.18387879767132,59.941524505615234,14412400
2025-01-10,59.815256609978874,59.88325026999886,58.989613487001584,59.31986999511719,22425000
2025-01-13,59.37814899305665,60.07751284879735,58.97018334727955,59.88324737548828,18016200
2025-01-14,59.89296242778528,60.29121259835322,59.54327862818872,60.2620735168457,16658300
2025-01-15,60.54376224128491,60.82544866848746,59.91238831728034,59.99980926513672,16187200
2025-01-16,59.65983719033204,60.51461937880853,59.56270445078138,60.4660530090332,12585500
2025-01-17,60.52433005244411,60.97114654737006,60.388339040384025,60.912864685058594,17948900
2025-01-21,61.097427337560745,61.41796834450558,60.514619780260965,60.63117980957031,19817100
2025-01-22,60.33977798914287,60.50490809421507,59.89296145486179,60.009521484375,18191900
2025-01-23,60.02894832933634,60.20379022500067,59.61127087918005,59.766685485839844,16528400
2025-01-24,59.95124233496952,60.232928759539305,59.67926399674921,60.1455078125,19244600
2025-01-27,61.06828860200471,62.340748333073456,60.679753910075625,62.03963088989258,20742900
2025-01-28,61.68994403222078,62.20475793907842,60.49519352166236,60.57290267944336,14956000
2025-01-29,60.76717135686382,61.544244401247944,60.7574558595347,61.02943420410156,11325600
2025-01-30,62.02019322344307,62.44758613005156,61.417962143212016,62.2144660949707,13201000
2025-01-31,61.874497398437754,62.09790565443927,61.573379989717616,61.66080093383789,12096800
2025-02-03,61.36940042970065,61.80650516032914,60.640893780445296,61.53452682495117,12067900
2025-02-04,61.7870760043204,61.80650329235856,60.56318279555019,60.8740119934082,15678000
2025-02-05,60.922588210467545,61.47625300657736,60.79631267817226,61.31112289428711,10686800
2025-02-06,61.796790202466255,61.91335393523509,61.10713812444476,61.54424285888672,13423400
2025-02-07,61.61224023658528,62.0881958719744,61.456825622220734,62.01049041748047,13184700
2025-02-10,62.26303347075756,62.79727464448304,61.835644237153616,62.70014190673828,16154300
2025-02-11,65.56560224195857,65.73072864680198,64.50684274069445,65.66273498535156,30589100
2025-02-12,64.95365494713461,66.84776925432391,64.95365494713461,66.74092102050781,26033800
2025-02-13,67.02262197810111,67.61514140294175,66.78950188971014,67.50829315185547,24393100
2025-02-14,67.37229501547061,68.02309250538978,66.7894911825467,66.8963394165039,20779100
2025-02-18,66.58551114824901,67.38201146029208,66.45923191865798,67.07118225097656,15569100
2025-02-19,67.22658822583823,68.12022121081665,67.1877336511758,68.06194305419922,16032300
2025-02-20,67.71226929562654,68.06195310849213,67.43057914577629,68.0328140258789,13398000
2025-02-21,68.30478601261842,69.54810289395681,68.12022861559835,69.30526733398438,21662300
2025-02-24,68.80988268606336,69.67438412220139,68.31450346528342,68.56704711914062,21418400
2025-02-25,68.82930316543575,69.71322064039444,68.70303135779943,69.44124603271484,21555600
2025-02-26,69.22755119299245,69.2372666894222,68.50876008299183,68.77102661132812,14531200
2025-02-27,68.69332458623636,69.48982492878281,68.40191894913877,68.83902740478516,16789500
2025-02-28,69.40239341665962,69.51895714213325,68.53789949896621,69.16927337646484,22167400
2025-03-03,68.2270660927648,70.28631398437818,67.731686964304,70.2474594116211,21717600
2025-03-04,70.00463327307857,70.56801353744137,67.8773914467018,68.17851257324219,25411900
2025-03-05,67.89682101104853,68.71274489886963,67.83853543995214,68.07166290283203,23933600
2025-03-06,68.39220272095953,68.508759033321,67.45970775755394,68.44076538085938,21694000
2025-03-07,67.65398481005975,69.76179557737375,67.65398481005975,69.38297271728516,28393300
2025-03-10,69.89778375227331,71.1216769980508,69.27612533775999,69.40239715576172,25251200
2025-03-11,69.82007427689159,69.97549258518207,68.58647295053534,69.004150390625,28076400
2025-03-12,68.35334634535661,68.70303009473085,67.74139607857563,67.9356689453125,18923300
2025-03-13,68.23679033729879,68.23679033729879,67.29458720670743,67.62484741210938,15746600
2025-03-14,67.03773398485316,67.77161661397149,66.91052288459095,67.67376708984375,14205100
