Ticker,BK,BK,BK,BK,BK
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,75.56645813135346,76.24151046228464,75.24361383159929,75.73278045654297,3443300
2025-01-03,75.34144441443026,75.68385955339471,74.49029181406988,75.26317596435547,3369200
2025-01-06,76.09476153764062,76.98504840770194,75.91866124818293,76.23172760009766,3381300
2025-01-07,76.43716597862435,76.78936650816736,75.39034981139636,76.2708511352539,4498800
2025-01-08,76.21216569422948,76.31978295454229,75.11642970926745,76.26107788085938,3031600
2025-01-10,75.72299953539589,76.16324653837921,73.75654749628275,73.78589630126953,3577400
2025-01-13,73.52174609405166,74.49029393298487,73.28694820123856,74.46094512939453,4068700
2025-01-14,74.32398076226642,75.07729410656951,74.0793974413239,74.29463195800781,4689900
2025-01-15,77.38615672672458,80.36029063110578,77.38615672672458,80.26245880126953,9273900
2025-01-16,79.94938775197544,80.69292305024004,79.28412089859968,80.46790313720703,5143100
2025-01-17,80.55595341709395,81.8571383856654,79.59719104537085,81.4853744506836,4695600
2025-01-21,81.53428999127063,83.15832677937235,81.53428999127063,83.08984375,4829900
2025-01-22,82.95288583993656,83.95078257511528,82.05282094717282,82.50285339355469,4289000
2025-01-23,82.56155070732984,83.69642097469092,82.2974039873564,82.8941879272461,4041600
2025-01-24,82.63002080793103,84.4692845286589,82.59088658441469,83.93120574951172,4306000
2025-01-27,83.81315971939922,84.53128049571265,83.34097709008176,84.50177001953125,2963800
2025-01-28,84.01975361654983,85.2789173849003,84.00007496098982,84.93460845947266,3248200
2025-01-29,84.4329149982668,86.27247151007313,84.4329149982668,84.63949584960938,3397900
2025-01-30,85.31826236354244,86.10523592163082,84.64933071130311,85.09200286865234,2859300
2025-01-31,85.03298112841433,85.45598213260807,84.3837206314254,84.53128051757812,3905700
2025-02-03,83.23276856688346,84.25584095651827,82.38676654286253,83.80332946777344,3501300
2025-02-04,83.64593741247971,83.89186807993036,83.04586598348348,83.47870635986328,3101600
2025-02-05,84.00006659502806,84.57062746611454,83.50820532792743,84.34436798095703,3217000
2025-02-06,84.90509814518616,85.09200784732664,84.43291548374758,84.99363708496094,2483500
2025-02-07,85.19037572048266,85.56419511208564,84.51161222953378,84.7477035522461,3438100
2025-02-10,84.7476993897548,84.98379070087118,83.31146536388496,83.64592742919922,2446800
2025-02-11,83.46886279264244,84.18698360741939,83.06554042121493,84.10828399658203,2329300
2025-02-12,83.37048420902217,84.3246962615692,82.96715437023124,83.93120574951172,2961200
2025-02-13,84.33453775158168,85.79044292677058,84.11811758913827,85.46581268310547,3373200
2025-02-14,85.97736153239303,86.8135242879492,85.85931211193956,86.41019439697266,5104200
2025-02-18,87.42343141694151,87.9841530067702,86.67580012876729,87.45294189453125,6665100
2025-02-19,86.97091396441158,87.48244638645234,86.16425427104272,86.8725357055664,4060400
2025-02-20,87.05944126154257,87.08895173571335,84.61980615892801,85.74125671386719,5921900
2025-02-21,86.0658871571588,86.45937769355807,85.42646597366097,85.82979583740234,5988900
2025-02-24,86.05605893228785,86.95124262243856,85.15102840917568,86.57743072509766,6665600
2025-02-25,86.94140155348921,86.99059068606309,84.46242387904934,85.33793640136719,5937100
2025-02-26,85.7707787009877,86.72499085503055,84.7870560688129,84.93460845947266,3709800
2025-02-27,85.28874490968956,86.55774794187371,85.04281426403853,85.47565460205078,3081500
2025-02-28,85.78060644718182,87.50212097167969,85.64288588563862,87.50212097167969,7191000
2025-03-03,88.13169427934407,88.86948614686705,86.27245937360276,86.91188049316406,4375700
2025-03-04,86.01670315146802,86.43970415298482,82.92781490977144,84.14762878417969,4968000
2025-03-05,84.26567954959877,85.7609345643701,83.79348941034024,85.1510238647461,4391000
2025-03-06,84.13779341954739,84.6493333783693,82.60318855349739,83.31147003173828,3664900
2025-03-07,82.93765456353358,84.73786882174379,82.52449285007138,84.4427490234375,6459200
2025-03-10,82.48513086542492,85.17069661685683,82.00310893754997,82.86878204345703,5259600
2025-03-11,82.50481797922615,82.74090930410112,79.4749505400337,79.73072052001953,8531200
2025-03-12,80.66525616711738,80.73411645144195,77.95017958979028,79.44544219970703,5488700
2025-03-13,79.76023427653345,79.76023427653345,77.96002002548367,78.36334991455078,4164300
2025-03-14,79.05195289668242,80.61606831049734,78.60928070546905,80.41932678222656,4354100
