Ticker,SPG,SPG,SPG,SPG,SPG
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,166.19479867244226,167.8712036731689,165.3084281769821,167.18714904785156,1154500
2025-01-03,167.68816882118884,169.80775200529962,167.27387843416003,169.63433837890625,896900
2025-01-06,168.75758981026826,169.4705320677779,167.57253794252966,168.03500366210938,2050700
2025-01-07,168.42037823534355,170.2412947533617,166.83069457872796,167.80377197265625,2317800
2025-01-08,167.46655340447515,168.59378590123455,166.45492997372662,168.30474853515625,1319700
2025-01-10,166.05992690208876,168.44927424355018,163.88253933377055,164.7111053466797,2010300
2025-01-13,164.4027894391032,166.75360524454294,163.6320279896235,166.4838409423828,1257000
2025-01-14,167.2931417360058,168.3240383472607,166.3874980927489,167.2257080078125,1067900
2025-01-15,170.15458786245193,170.4725275338347,164.6243898802189,165.47222900390625,1204400
2025-01-16,165.732374108917,166.8307045393122,164.4991615099138,166.39715576171875,1195800
2025-01-17,167.1486211640604,169.2971063750692,166.2333336808252,167.7748565673828,1302400
2025-01-21,167.63998589975557,170.0967817367729,167.63998589975557,169.52835083007812,1078300
2025-01-22,169.05625382298558,169.05625382298558,166.29116224250672,166.58018493652344,1517100
2025-01-23,166.97520399620683,168.60343379473588,165.9443220741236,168.4685516357422,902100
2025-01-24,167.96755092351336,170.00042715623383,167.60145061455233,167.88084411621094,1050700
2025-01-27,168.2373132909917,170.44361781386445,167.91937363350578,170.2412872314453,1186100
2025-01-28,169.47053947750766,170.92535572808336,168.940654706532,169.20077514648438,786600
2025-01-29,169.5668757298522,170.68447912086967,166.43566921779527,167.28350830078125,689200
2025-01-30,168.71903921821811,170.7711885294247,168.10243297602702,169.3645477294922,1093600
2025-01-31,169.4416219303157,170.63630293217858,166.80178340029033,167.50509643554688,1504200
2025-02-03,165.81907806179,167.71707228083102,164.35463261285835,167.07156372070312,1306100
2025-02-04,165.11575407501633,167.3124147530875,165.11575407501633,167.0137481689453,1041100
2025-02-05,172.03330247185292,173.9505696179493,169.5379752457696,172.56320190429688,1998200
2025-02-06,174.7213338981479,174.8273137863386,171.2914460171815,173.58445739746094,1382900
2025-02-07,173.91202708518693,174.28777129038207,172.73661912000168,173.3628692626953,1082100
2025-02-10,174.16253566909802,174.3166762086862,172.21636618389985,173.960205078125,1492000
2025-02-11,173.74824036376305,177.8043636492683,173.19908254852078,177.6405792236328,2155800
2025-02-12,174.33594838983004,177.68874400068938,174.33594838983004,177.1588592529297,1395300
2025-02-13,177.82363125978594,180.26115389165702,176.95651910826155,179.41331481933594,1355200
2025-02-14,180.0299412820239,181.26315387072768,178.22829775186602,178.28610229492188,998000
2025-02-18,178.62327720842944,180.16480009501066,178.17045541178564,179.23988342285156,1135200
2025-02-19,178.7196506998543,179.76017657587207,177.5442426566335,179.13392639160156,783100
2025-02-20,178.65219451919268,180.63691018062607,178.65219451919268,179.8854217529297,940600
2025-02-21,180.36714909256168,180.64654261000172,175.13561757402832,177.081787109375,1367600
2025-02-24,177.6791068415997,179.37477030069078,177.1492074165549,177.90069580078125,1657000
2025-02-25,178.04523533662834,179.44223232593504,176.36883012882834,177.081787109375,1356700
2025-02-26,177.92959636323934,179.29770566607394,176.49406803585342,177.5056915283203,1078300
2025-02-27,178.27644638210472,179.29771381108844,175.84856753115454,175.9063720703125,954100
2025-02-28,176.96615700569618,179.4325967282697,175.64623768583218,179.28807067871094,2573100
2025-03-03,180.44421062190054,183.190043928813,179.24954423799593,180.9163055419922,2047200
2025-03-04,180.67542923970746,180.98373970224372,176.05087520902725,176.86981201171875,2894800
2025-03-05,175.41502446623585,177.62131442150115,174.21071419127477,176.67713928222656,1772800
2025-03-06,174.54791427983437,174.9911069346434,167.94830271684253,168.16024780273438,1949500
2025-03-07,167.94828187879023,169.1718503958247,163.44896626047392,164.84597778320312,1898700
2025-03-10,164.11442273651056,165.28492381494348,160.0371740884946,161.2271728515625,2140500
2025-03-11,161.5295706047717,161.8904712702451,156.3500774967731,159.461669921875,2565500
2025-03-12,160.41758556434826,163.27555912376695,159.96888579924152,161.75390625,2003000
2025-03-13,161.90997622407284,163.42186536439525,154.3309584194924,155.5599822998047,1832900
2025-03-14,156.94507433427614,157.25721588301565,154.8089170054692,157.24746704101562,1887500
2025-03-17,158.26190365692435,163.67548792979295,157.62788657573483,162.7585906982422,2279300
