Ticker,MMM,MMM,MMM,MMM,MMM
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,127.87570211483987,129.181058832348,126.58997898792241,127.29663848876953,3248900
2025-01-03,127.29664525837856,128.43515395651588,126.90406328193791,127.46349334716797,2273700
2025-01-06,128.39589470982204,128.97495833493898,127.47331064212166,127.87570190429688,3067000
2025-01-07,127.67940648813517,130.33919631476186,127.60088710467316,130.30975341796875,3414500
2025-01-08,129.58346522724955,132.18435438208118,129.22032616911426,132.03713989257812,4676000
2025-01-10,131.3501020287919,131.41879712562826,128.20940173817962,128.77865600585938,4661700
2025-01-13,128.3075368268892,132.23341584532966,127.13958542273676,132.1058349609375,4207200
2025-01-14,132.12547722623913,135.14840640872455,131.9782627271094,134.66749572753906,4629000
2025-01-15,135.64896857759786,136.27710874747595,134.57915494873862,135.2269287109375,4114300
2025-01-16,135.4722830629321,136.91504494973304,133.911749585712,136.60096740722656,4122700
2025-01-17,137.06226898220413,139.03503311534948,136.91505448392877,138.4167022705078,5724500
2025-01-21,142.8038635827479,147.22047792035866,142.3131286563467,144.16810607910156,11368500
2025-01-22,145.1397679618393,149.26193838637622,144.67847592868927,146.35678100585938,7077700
2025-01-23,146.68067321193175,147.67196739324783,145.65995110781097,146.8573455810547,4439100
2025-01-24,146.14086340626912,147.3186392774725,145.6501284519485,146.66104125976562,4858400
2025-01-27,146.23900266011682,149.18341210964937,146.15067397088066,148.71231079101562,4929600
2025-01-28,148.51603904046812,150.1256491487832,147.01437624893808,148.59454345703125,4286800
2025-01-29,148.692681389442,149.94896159187675,147.84861672442727,148.73193359375,3996100
2025-01-30,149.1834187555429,151.78430789474595,149.01657067642816,151.5389404296875,3962300
2025-01-31,152.1180243583912,152.12783366596224,149.31101986073887,149.3797149658203,4164200
2025-02-03,146.41567040641195,148.82028360796903,145.40475762190542,147.25973510742188,3556300
2025-02-04,146.69048971002556,149.92932821961048,146.55308453068585,148.8693389892578,3110400
2025-02-05,149.63490057715492,150.77339422635993,147.946771229663,149.6250762939453,2841400
2025-02-06,149.87044592491583,150.62618191695339,148.7613951572179,149.49749755859375,2760200
2025-02-07,149.67416624923132,150.06674823586135,146.76900862962344,147.0928955078125,3356600
2025-02-10,147.37752129134623,147.8093704362258,145.38513862604984,146.91622924804688,3531400
2025-02-11,146.54327309639098,147.59345311174187,145.81699493164768,147.28919982910156,2187700
2025-02-12,145.9445563499728,147.28918016046524,145.41456924712136,146.1114044189453,2102900
2025-02-13,146.3469602391755,146.94565740706216,144.79623618176353,145.9641876220703,2047000
2025-02-14,145.86556829972372,147.50284856581692,145.7176276340771,146.5855712890625,2388300
2025-02-18,146.15159100790984,147.44367136264552,145.974062210262,146.9505157470703,2601400
2025-02-19,146.04311862114758,148.3017648329765,146.04311862114758,148.14395141601562,3216900
2025-02-20,147.93682293081739,148.0354450212852,146.01350404276212,147.03927612304688,2231500
2025-02-21,147.03927373713174,147.49296845573406,142.58114295266495,142.99539184570312,4278500
2025-02-24,142.99540028501718,144.39596044887543,141.9005941995478,143.48855590820312,3447500
2025-02-25,143.4392211377729,145.54006867127592,143.35045674760298,144.53402709960938,4358800
2025-02-26,142.41347061174739,147.21680124013338,139.81946739358528,145.41184997558594,5783400
2025-02-27,146.73351963024888,150.4716324102337,146.18118777303982,148.45956420898438,6576000
2025-02-28,149.42615535753492,153.37140038347644,148.93299972929222,152.99659729003906,8323100
2025-03-03,153.37138373308835,154.20975423005146,149.8206575752507,151.31985473632812,5672700
2025-03-04,148.43984107886521,148.97244252456096,143.62663742923883,143.8633575439453,6787400
2025-03-05,144.7510306797501,146.99981907989155,144.00143956300798,145.5894012451172,3909700
2025-03-06,144.38609942541814,146.10228637250628,143.75486084429056,144.92857360839844,4492400
2025-03-07,142.709371116539,145.20473726918857,138.85289068065705,144.29733276367188,5891100
2025-03-10,141.50607285332342,147.1379015280244,141.160857904123,145.59925842285156,4966500
2025-03-11,143.73513426983118,147.44367420232675,143.63651217476576,145.52035522460938,5818300
2025-03-12,146.27982206719557,149.1697219146761,145.18501595533817,148.18341064453125,4196600
2025-03-13,148.22285627725182,149.1697217173009,143.9126808483949,144.10008239746094,3295000
2025-03-14,145.8951538628719,148.7258622484245,145.04692561163773,148.35107421875,4094400
