Ticker,RTX,RTX,RTX,RTX,RTX
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,114.829147365812,115.30035792883957,113.42531976845773,113.88671875,3207500
2025-01-03,114.17140536971287,114.53462859757838,113.71000641455312,113.74927520751953,2902600
2025-01-06,114.15176585168106,114.15176585168106,111.64844212075324,112.01166534423828,3832300
2025-01-07,112.01166752111196,113.17007070801593,111.84478076709136,112.69886016845703,3588400
2025-01-08,112.82647682241861,114.0732291623908,112.31599749551631,113.79835510253906,4294200
2025-01-10,113.71982399955708,114.39719760691723,112.70867686899483,113.00318908691406,4287300
2025-01-13,112.48288510350717,115.77156975562556,112.48288510350717,115.58504486083984,5414900
2025-01-14,116.58638199512389,117.3324666052145,116.01699572182586,117.28338623046875,3804900
2025-01-15,117.9509436888055,118.16691831439911,116.00717954821981,116.91033935546875,4279600
2025-01-16,117.16557960243084,118.30435214662536,116.92015525994994,118.25526428222656,3896900
2025-01-17,118.39269621839604,119.12896921414446,117.666242293056,118.89336395263672,4368600
2025-01-21,120.48371787932767,123.50733999545811,120.25792419554936,123.44844055175781,6071100
2025-01-22,123.37972519605702,123.5760616732551,121.38688074244617,122.103515625,5103800
2025-01-23,123.45826299511681,124.67556563330227,122.41765869285955,123.97856140136719,5501300
2025-01-24,123.2226502994248,123.96874239601598,122.79070855066699,123.01649475097656,3483000
2025-01-27,124.30251785595846,125.64743839633786,122.10351045766659,122.7612533569336,6207800
2025-01-28,128.77904467021756,130.00616629565954,123.82147779728555,126.0008544921875,8451600
2025-01-29,125.06824758894592,127.38504651292828,122.72199145219649,122.83979034423828,5179000
2025-01-30,123.36009622201667,126.85493649401874,123.25210891116207,126.61932373046875,4343600
2025-01-31,126.77639916666598,127.55193350656924,125.17623513215655,126.58987426757812,5569300
2025-02-03,126.14812095033413,128.1507771355244,125.21551137889986,127.54212951660156,6067300
2025-02-04,127.16906903446186,128.07224378487084,125.67689983707504,126.0204849243164,4036800
2025-02-05,127.28688445106857,127.51267065165975,125.94194886956008,126.79603576660156,4881500
2025-02-06,126.69786296288787,127.37523655981249,125.19586715210434,126.42298889160156,3363300
2025-02-07,126.44261827250872,126.63895474132148,124.99952200849081,125.60816955566406,3827300
2025-02-10,125.725988737204,126.14811141402633,124.57739712783412,125.9026870727539,5344900
2025-02-11,126.73714428990048,127.05127967836412,125.4609346341408,126.74695587158203,3320600
2025-02-12,125.47074184656924,126.24629117831094,124.12582120684472,124.4595947265625,5154900
2025-02-13,125.20567890242054,125.30384713788912,122.97722175952691,123.53678894042969,6580400
2025-02-14,123.15392414459735,123.15392414459735,119.15841640543245,120.16957092285156,7715900
2025-02-18,121.96608360742596,123.0361376744914,121.15128045277393,121.494873046875,5386200
2025-02-19,122.13297243751522,124.29270363864944,121.82864116217108,123.11466979980469,5124600
2025-02-20,122.47655971872669,123.01648875077774,120.93529522618881,122.82015228271484,3132000
2025-02-21,122.89908885718376,123.80682710843175,121.04415987494458,121.64602661132812,4846100
2025-02-24,123.33322546871081,124.5468277194945,122.96815641136486,123.75749206542969,4461000
2025-02-25,124.23109629131191,126.22415792401861,123.98442983773788,125.64202117919922,6007900
2025-02-26,125.81962568266826,126.61883013872676,125.14869260461309,125.6124267578125,3904500
2025-02-27,126.70762823531082,129.2433667280862,126.1254989898074,128.77963256835938,5758900
2025-02-28,129.53934616047468,131.31534761020734,128.87828188160964,131.21669006347656,7461000
2025-03-03,132.548695907614,133.55509936020033,131.14763210967033,132.04550170898438,6215800
2025-03-04,131.73961523373586,132.93347236096318,126.77668771271415,126.98387908935547,7911200
2025-03-05,127.75348392322499,128.79934726527685,126.52015166980057,127.9113540649414,5774900
2025-03-06,126.89509004835989,127.1417565001252,124.28042415411504,126.56948852539062,6258300
2025-03-07,125.30656293145596,127.18122202404808,124.57643231030966,126.6878890991211,6418500
2025-03-10,125.30656101787945,128.10868837539476,124.72443178863364,126.8062973022461,4916800
2025-03-11,126.97402425747023,127.32922454781367,125.40522172050967,126.4017562866211,4404800
2025-03-12,126.63856789854175,126.83589805752159,125.11909405821226,126.2537612915039,4701800
2025-03-13,126.59908666622083,127.91135398973188,126.29322267640347,127.47721862792969,3434100
2025-03-14,127.22069646010803,128.9473616888167,126.29322815697806,128.25669860839844,5380700
