Ticker,GS,GS,GS,GS,GS
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,570.5382887416675,575.4625804951856,561.1131871121161,566.2639770507812,2219000
2025-01-03,572.2027081963419,573.3254611554115,563.0730519470919,571.3458862304688,1422600
2025-01-06,576.1224096453847,584.6611746908179,571.0405670849765,574.5565185546875,2257000
2025-01-07,578.2202102814701,579.3725379082811,559.7935477862628,571.3360595703125,2021900
2025-01-08,572.2420634510614,572.3996744462945,563.9988040230342,571.237548828125,1513400
2025-01-10,567.5246395383563,567.5246395383563,549.5608323662143,551.5206909179688,2817900
2025-01-13,549.4327862956515,557.6169568570024,548.3297497421132,554.426025390625,1871200
2025-01-14,561.0344191268993,564.9049656016361,556.6419890600879,562.8761596679688,2221900
2025-01-15,588.945299939269,600.1825073906151,584.0210081337568,596.745361328125,5119800
2025-01-16,600.7537379253632,607.5000537189495,596.8241627094396,603.7083129882812,3224500
2025-01-17,608.4454580866761,617.506166653064,603.7181501727724,616.4622192382812,3425200
2025-01-21,607.4705239379705,625.8085830393647,599.7787820277357,625.1290283203125,5076700
2025-01-22,623.84862403797,625.9758914492186,620.1751219317727,623.1493530273438,2835700
2025-01-23,625.306226602516,635.7654171336247,624.8827447389792,629.81689453125,2582700
2025-01-24,620.4607401842076,630.9002143079938,619.436509173698,627.2562866210938,3183500
2025-01-27,615.5364453923895,626.0842995605866,615.0046435435237,623.6911010742188,3351700
2025-01-28,622.6275169828593,629.4033478501525,622.2434077651201,628.1427001953125,2338000
2025-01-29,627.3546919351586,639.1729906843295,626.7735991311616,627.7289428710938,1918900
2025-01-30,634.7313344506553,639.6852006957621,631.2941885023077,635.9230346679688,1812800
2025-01-31,640.1579241719224,640.1579241719224,627.7881057646705,630.7033081054688,1995100
2025-02-03,616.5213180512993,628.8123308433892,613.0545974746659,622.7948608398438,2102600
2025-02-04,622.4305304749911,628.0146609663719,619.564618880025,624.5775146484375,1743400
2025-02-05,628.3396122931961,636.6222443700472,625.9070410800658,635.6768188476562,1908200
2025-02-06,640.1579113887664,648.873883522513,639.1139639684793,648.25341796875,2439200
2025-02-07,649.4156322193636,653.8179202731916,643.2700655068285,645.9686279296875,2616700
2025-02-10,649.0413694190902,652.4587990422483,634.4949923458598,640.679931640625,2351600
2025-02-11,636.9867009038769,639.2124302412502,633.8547985100611,637.439697265625,2711400
2025-02-12,634.0124473524938,640.6208086844953,629.43283179035,639.173095703125,2295800
2025-02-13,641.960237198129,642.1276462870978,630.8116334265749,639.1238403320312,2031800
2025-02-14,640.4730752752569,653.2171444479357,640.4730752752569,650.5481567382812,2246000
2025-02-18,652.5573464008438,662.011962890625,651.0111115168323,662.011962890625,2350100
2025-02-19,658.9490531580227,660.879337086707,653.2368866504529,658.0331420898438,1953600
2025-02-20,657.914976078286,660.1309074455245,622.0956212977522,632.53515625,3929000
2025-02-21,634.987442450265,637.695803003562,613.9902545110225,616.1273803710938,3000800
2025-02-24,623.9175804236636,627.6501716759376,605.490860310477,616.6591796875,3274100
2025-02-25,619.013069671919,621.7608029265341,596.8241814012051,605.5992431640625,2885900
2025-02-26,607.3325743516535,613.6947808539168,605.8848614483315,608.4159545898438,2001200
2025-02-27,608.1894114137149,615.7629746242279,598.1143296029186,598.7938842773438,2396300
2025-02-28,601.5552359163656,617.2525890987472,597.8140427713015,615.906494140625,3337200
2025-03-03,616.0153996257261,622.3299579537078,592.1823971052667,599.0512084960938,3152300
2025-03-04,589.866386575042,593.8451685351248,561.7478444248878,575.1786499023438,4061000
2025-03-05,576.118919780966,590.9947099161467,570.8633924289123,586.9862670898438,2600600
2025-03-06,574.6343113809752,580.691527346029,558.8281008603386,561.8468017578125,4332300
2025-03-07,562.3416391691933,562.3416391691933,539.320232878602,553.9288330078125,4069600
2025-03-10,536.7369833113368,540.864189835471,517.7636493099809,526.2061157226562,5272100
2025-03-11,527.0078254243033,534.4507036303345,518.8227012235518,525.978515625,4190500
2025-03-12,538.4195993356783,539.4093412462219,523.1677030741855,530.2146606445312,3078100
2025-03-13,530.1750353487298,532.6197292945083,514.7251785346587,519.4264526367188,2529100
2025-03-14,528.5122720896939,537.9940164882904,521.2970753235066,535.8561401367188,2808100
2025-03-17,535.6780495597602,551.4446325540599,534.4606862164991,545.6843872070312,2695600
