Ticker,CVX,CVX,CVX,CVX,CVX
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,139.03477896089814,141.5100449797736,139.03477896089814,140.21029663085938,7170300
2025-01-03,141.00351114661385,141.92098656710596,140.77415322857365,141.29978942871094,5809000
2025-01-06,141.82539461168054,143.66989695792083,140.36317972250387,140.73590087890625,5888700
2025-01-07,141.93053788415304,143.83237991825393,141.08953454909218,142.9626922607422,7736000
2025-01-08,141.48136622888424,144.48225398727985,141.47181450944313,143.64125061035156,7640900
2025-01-10,146.61346522032346,147.50225633935716,144.18598692314245,146.3554229736328,11074700
2025-01-13,147.27289295500762,150.37890777101128,147.1773174352506,148.46751403808594,11774100
2025-01-14,148.33372177415555,149.9584035822193,147.61694910152943,149.94883728027344,6830200
2025-01-15,149.92973314524056,151.65954218722914,149.45188469904363,151.31549072265625,7900000
2025-01-16,151.02877313657453,152.81592159257522,151.02877313657453,152.3189697265625,5578900
2025-01-17,152.0800485424762,154.60308771177372,151.76466682346688,154.31637573242188,9260400
2025-01-21,154.0105437185611,154.249467934434,150.51270428109223,151.22947692871094,10131400
2025-01-22,150.6942695214001,151.42060844694458,149.34674807073074,149.4805450439453,7232200
2025-01-23,150.64650548009195,150.94276918283197,148.72554539766745,149.0982666015625,5979800
2025-01-24,149.52833813711726,150.49358672240578,148.39105653282843,148.75421142578125,8003800
2025-01-27,149.40409980485737,150.89498465235678,148.62998764040788,150.26422119140625,7141000
2025-01-28,150.7229741525979,151.87935930918144,148.3050474248413,149.2894287109375,6425400
2025-01-29,148.82111969102115,149.64301959318004,147.95143202818775,148.79244995117188,5630600
2025-01-30,149.62390443196668,150.47447409023093,148.62998607171642,149.39454650878906,6931900
2025-01-31,146.947940791834,147.5309164472405,142.06432935867414,142.58041381835938,16726800
2025-02-03,142.39883669866578,144.1764334984837,141.25200334650714,142.72377014160156,7605000
2025-02-04,142.13124858108307,146.59435149377435,142.13124858108307,146.431884765625,8458100
2025-02-05,146.21206665039062,146.98617876733576,145.54306718770928,146.21206665039062,6533700
2025-02-06,147.38758835719483,148.38150679279013,144.3675824223506,145.1703643798828,6420500
2025-02-07,145.72466248697586,146.99574114232828,145.18947454425438,145.85845947265625,4724900
2025-02-10,147.454469816866,148.8975814838398,147.23466361075955,148.86891174316406,5653800
2025-02-11,149.4232139382182,151.67865917217242,149.2033931548695,150.4649200439453,6011800
2025-02-12,149.80549017950602,150.49359311920156,147.7220779218783,148.03744506835938,6693500
2025-02-13,147.92275717363515,149.49009942323545,146.52744793995922,148.97402954101562,7836400
2025-02-14,149.8533670426014,152.14348661954065,149.66011055731335,150.10459899902344,5828800
2025-02-18,150.1045867047964,152.00819315524575,149.56346269250037,150.89695739746094,5981500
2025-02-19,151.24483024202692,153.02281341461736,150.74235160819956,151.93089294433594,4945800
2025-02-20,152.1918070898454,153.59293506335487,151.77630637643244,153.43832397460938,6256200
2025-02-21,152.8005737003343,153.59292969956564,151.534726787552,151.63134765625,6689800
2025-02-24,151.79562384069786,152.99383767855338,151.46708633088312,152.56866455078125,5925000
2025-02-25,152.6652869113155,153.63158402887538,150.22055638345088,151.148193359375,6810900
2025-02-26,151.3414621575213,151.40911003863044,149.19628120229714,149.91134643554688,6005200
2025-02-27,150.44280344312415,152.95516714967832,149.59245724530854,151.3897705078125,7517200
2025-02-28,151.41877418349674,153.32238092113684,149.6987662801253,153.27406311035156,8828500
2025-03-03,154.08575838639288,154.69451559764394,146.64525813209485,147.93043518066406,9059800
2025-03-04,146.11379848740762,148.95469972200226,144.99289025511825,146.87716674804688,8826300
2025-03-05,145.08950477474284,146.2683884253038,142.76073995180397,145.72726440429688,9288300
2025-03-06,145.4373682627508,148.16233310684575,144.43242578672658,147.79513549804688,7314700
2025-03-07,148.7614577693257,152.1434981234264,148.52955586725528,151.07090759277344,8562600
2025-03-10,151.89226278636627,154.96508087699854,150.90663549080335,152.25946044921875,11750300
2025-03-11,153.09045354434656,153.48663892267714,148.60683526595375,148.88706970214844,10466300
2025-03-12,148.46189131018767,149.5731271182161,147.0897511471044,147.5245819091797,9710200
2025-03-13,147.1284000427291,149.22526310729623,146.7998625475305,148.4329071044922,9022800
2025-03-14,148.8001024027853,151.94056811846787,147.85312058630663,151.7279815673828,6671500
