Ticker,COST,COST,COST,COST,COST
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,910.2501578692055,920.9642693211997,897.3176419650529,905.0870971679688,1765100
2025-01-03,909.5836404195887,919.4123572293847,906.2709097746078,911.8219604492188,1612200
2025-01-06,913.2146785069448,922.5957193934128,908.5291673249656,917.920166015625,1970400
2025-01-07,919.0443067937457,926.4755003413892,911.6727386347334,916.5870971679688,1888000
2025-01-08,918.1887433842167,925.6697261029497,910.6679901661593,922.5559692382812,1774800
2025-01-10,928.5148609264771,939.3782183066136,918.7060593160302,932.0762939453125,2765800
2025-01-13,929.1515523305337,930.1364034687152,916.2190360775392,919.8998413085938,1693800
2025-01-14,919.5019347556221,922.9439957100435,905.1965766617485,912.4686279296875,1683800
2025-01-15,922.4466072947804,928.0274712380343,913.533096755215,918.7061157226562,1839400
2025-01-16,919.9297153719679,922.5858991429287,913.0556118365182,914.9755859375,1353000
2025-01-17,925.1723514023772,938.9007031827482,919.770545927162,938.2938842773438,2375000
2025-01-21,940.3431349986424,951.5844636912492,938.6022193824058,942.8102416992188,2042400
2025-01-22,946.2921527885128,946.9984890424447,934.3644025033411,939.7960815429688,2155000
2025-01-23,936.8016949863448,938.4928824396633,931.6286760131508,937.2692260742188,1352400
2025-01-24,937.2691697442277,941.1290333117488,928.7138370968963,934.8020629882812,1562400
2025-01-27,925.1723629018551,961.9703378146005,922.3669942571798,960.2393798828125,3044700
2025-01-28,956.8371117373176,960.6969753302941,949.1173845513647,953.6934814453125,2166400
2025-01-29,952.8280038041619,963.2337273194853,950.0425508771912,959.0157470703125,1713700
2025-01-30,965.2631096884943,981.6277290197693,965.0641357553153,973.9279174804688,1788200
2025-01-31,971.1722768560514,985.8556666309961,970.7147036000844,974.7933959960938,1873800
2025-02-03,967.3422898821311,1004.3690498723846,963.9101868594798,1000.6087036132812,2751000
2025-02-04,1000.1809040952656,1019.0324843970394,994.4607528530778,1016.555419921875,2001600
2025-02-05,1014.7050761458752,1037.6751796026456,1014.7050761458752,1037.46630859375,2047600
2025-02-06,1044.549328606887,1057.4818441039247,1038.7793885027868,1045.5341796875,2218000
2025-02-07,1042.715706618678,1052.3859346799818,1031.2727330883265,1039.538818359375,1632900
2025-02-10,1047.6952555329776,1058.6502439463452,1041.7198073075044,1057.57470703125,2036900
2025-02-11,1055.5730432921628,1061.6380898972436,1044.7475265441296,1054.0093994140625,1748500
2025-02-12,1049.836514349132,1062.6339087106323,1046.6993796203135,1060.7615966796875,1662300
2025-02-13,1062.643942524079,1073.8180025552424,1060.293613927973,1072.45361328125,1623300
2025-02-14,1072.075048263331,1073.0809250913953,1063.6397364924721,1067.4639892578125,1410700
2025-02-18,1064.8348630115465,1066.6175774170795,1040.9629749796834,1051.7088623046875,2090600
2025-02-19,1051.7387955270397,1058.829656532313,1048.6912583027663,1058.1922607421875,1349600
2025-02-20,1049.3286716003133,1049.3286716003133,1029.6196105247425,1030.5955810546875,2000500
2025-02-21,1030.3764746331833,1031.9699032943008,1020.4871751850062,1030.7947998046875,1816300
2025-02-24,1024.3313786338022,1033.9417947537859,1021.0248955893337,1031.3624267578125,1759700
2025-02-25,1036.47137126975,1052.6947523983906,1033.2147324765572,1051.34033203125,2083800
2025-02-26,1045.843009481505,1054.557205879427,1025.964721515308,1027.747314453125,1555700
2025-02-27,1029.7690474325789,1038.26417329681,1014.661137518691,1017.5293579101562,1629100
2025-02-28,1026.3928674541241,1045.0860825817438,1019.7999604694858,1044.3192138671875,3307100
2025-03-03,1047.4364116160295,1061.6380713391586,1036.879809704869,1042.56640625,2422500
2025-03-04,1041.4510513042887,1043.6421222631566,1024.5206120868563,1032.6273193359375,2536800
2025-03-05,1028.8527521671956,1046.6795324413965,1024.2915365864912,1043.4627685546875,1898600
2025-03-06,1028.7233054997157,1041.6104205606955,1014.8802182743849,1022.4192504882812,2594600
2025-03-07,991.0780312233506,998.3182422233216,938.9223256688251,960.3641967773438,5510700
2025-03-10,951.5603095534015,955.7331670396917,920.2490163739243,930.5864868164062,4459900
2025-03-11,927.1904790297871,934.1618360149735,917.430591407608,926.6825561523438,3204900
2025-03-12,934.161798463245,940.5156970085887,919.4721539778155,923.2864990234375,2331600
2025-03-13,918.2273104879016,919.7211727066997,883.8385730341728,886.9757080078125,3447200
