Ticker,PG,PG,PG,PG,PG
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,163.76334587985218,164.36739713728718,161.63946639649572,161.70765686035156,5401700
2025-01-03,161.9707134844335,162.21427846711686,160.02219362296665,160.87954711914062,5256600
2025-01-06,158.61926219913678,159.29150395217823,156.3102708439312,156.46615600585938,8731700
2025-01-07,157.30401748348595,158.42441047541158,156.60254913281054,157.14813232421875,8447400
2025-01-08,156.8461069252226,158.21980208842885,156.436919550435,157.9275360107422,4974800
2025-01-10,156.02772268329687,157.06045070212056,153.41671319252944,154.47865295410156,8501500
2025-01-13,155.24833168237086,155.96927454366786,154.33252493485887,154.75144958496094,6772200
2025-01-14,154.76118992963058,155.94978818822037,154.23508126250331,155.62828063964844,5982200
2025-01-15,156.45641041969893,157.0019936431833,155.23858541512558,155.5406036376953,8059200
2025-01-16,155.51135991290909,156.44665595454472,155.04371932510438,156.36871337890625,5774400
2025-01-17,155.62829266662456,157.5865498508686,155.4918968657224,156.98251342773438,7262700
2025-01-21,156.81686465337307,158.17108518681437,156.81686465337307,157.5572967529297,13914700
2025-01-22,162.79884206781827,163.81206586528387,160.20730705722528,160.4995880126953,14356700
2025-01-23,159.6617164966892,162.19478330640501,159.1161333335512,161.87327575683594,7614300
2025-01-24,162.6251121750609,162.6251121750609,159.9687615264564,160.87054443359375,6199800
2025-01-27,163.41906503755777,166.57531254867976,162.8211420008129,166.3008575439453,9170800
2025-01-28,165.56569840482737,166.23222767979624,162.82113354336843,162.89955139160156,6716300
2025-01-29,163.41907023138057,163.97777688139118,162.5957051910089,162.9387664794922,4850300
2025-01-30,164.1640042187291,164.28163846980803,162.64469018708937,164.09539794921875,4136500
2025-01-31,162.7133183512419,163.32103800714034,161.93896636894144,162.70352172851562,5464700
2025-02-03,162.19381681708248,166.0264052805371,161.95856325627886,165.41867065429688,8668600
2025-02-04,165.9381842629177,165.9381842629177,162.987785285339,164.80116271972656,6410900
2025-02-05,164.76192871702293,165.79114242239189,163.31123589844427,165.66371154785156,7536800
2025-02-06,166.01658943471497,166.56549943914155,164.70312407316916,165.5363006591797,4957900
2025-02-07,165.74212229663328,165.77152711924052,164.54627632169013,164.64430236816406,4535600
2025-02-10,164.36986366131921,165.14421566110752,163.10539633730664,164.21302795410156,7062900
2025-02-11,164.3698691715769,166.21265140147037,163.2034278646412,166.07540893554688,5438100
2025-02-12,165.016784761274,166.71252769123683,164.6443037296027,166.22242736816406,6037400
2025-02-13,166.2714328943734,167.9867839477803,165.79112921501675,167.6339111328125,6328300
2025-02-14,166.42826511225266,166.63411383380802,159.08657166914116,159.66488647460938,13179500
2025-02-18,160.1157825963126,162.47805480217428,158.98854287173714,162.1545867919922,7075300
2025-02-19,162.81134110238193,163.56608486724303,161.96836790807066,163.19361877441406,7910700
2025-02-20,159.91974081598178,164.4580749167228,159.57667953942328,163.8993682861328,6162600
2025-02-21,164.12480478040578,167.17322950328233,162.63489555414228,166.85955810546875,9813700
2025-02-24,166.84976518276625,169.55511374385705,166.4282711021925,167.16342163085938,8564100
2025-02-25,167.88877351338104,170.50590756909065,167.41828136857413,169.2316436767578,7314900
2025-02-26,168.86899409372887,169.23166360674114,167.27126198971928,167.9084014892578,5519000
2025-02-27,167.46730445565598,169.66294456778152,167.25165909368985,168.56512451171875,5467000
2025-02-28,170.14323974958262,171.19204672387764,168.447496721979,170.39808654785156,10240100
2025-03-03,170.14323585519278,172.79957132266034,170.0746146283781,172.11343383789062,7615300
2025-03-04,173.2504835445081,176.42633937691284,169.48651623277578,169.75115966796875,12117600
2025-03-05,169.9472045995458,172.38789480542172,169.59433174419706,171.15284729003906,6989100
2025-03-06,171.42730049451944,172.35848817182256,169.41788606033327,171.2018585205078,6702500
2025-03-07,170.64314980767006,175.34811653217167,170.60394835749818,172.46632385253906,9566700
2025-03-10,173.2602877772328,176.4263471255385,172.34870821373408,172.7701873779297,11047000
2025-03-11,172.3487029590948,172.50553867169265,168.90820364528614,169.69235229492188,11032300
2025-03-12,166.34006097830996,168.42789332045896,164.44828074760636,165.03639221191406,10158800
2025-03-13,164.37965141007308,165.93816690513546,163.96796891835896,165.2520294189453,6609000
2025-03-14,164.46785847584593,165.25202197761314,163.32102552413974,164.64430236816406,6790500
