Ticker,BKNG,BKNG,BKNG,BKNG,BKNG
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,4963.33922191777,5012.279691444629,4869.853999660277,4898.3173828125,141300
2025-01-03,4910.738995358712,4934.77704096879,4852.141736966417,4876.9951171875,165500
2025-01-06,4915.602165039718,4915.602165039718,4819.013910945931,4882.90234375,278200
2025-01-07,4854.677831543755,4862.5840031737835,4761.779222274608,4769.8349609375,220300
2025-01-08,4782.564655107194,4850.530731159567,4759.292898956138,4845.73681640625,266300
2025-01-10,4782.873404640062,4809.367652644,4674.42078667215,4713.5947265625,306200
2025-01-13,4684.494759194582,4754.399864162895,4634.798199617549,4737.81103515625,209900
2025-01-14,4755.64361789124,4782.7443902880605,4725.062012342534,4752.64013671875,206100
2025-01-15,4825.160278601117,4872.708513266449,4789.3375167870245,4803.19140625,230300
2025-01-16,4791.395802768774,4874.757083568004,4771.8933305079745,4838.357421875,188400
2025-01-17,4922.891990216932,4949.704308551433,4867.6463965696175,4899.81884765625,260100
2025-01-21,4898.477084244841,4907.596789122123,4589.726999027273,4660.74609375,405900
2025-01-22,4655.922716110359,4678.746745057448,4570.741853115154,4593.9140625,372900
2025-01-23,4595.345682540594,4796.040849806782,4583.80911088762,4791.75439453125,402300
2025-01-24,4775.703026952414,4801.560644341161,4697.921363648155,4738.79638671875,240000
2025-01-27,4631.367856335792,4754.97725004687,4631.367856335792,4649.75634765625,299600
2025-01-28,4644.52515760315,4725.499198324097,4634.4803712650055,4659.025390625,331000
2025-01-29,4679.791409639098,4718.030557886577,4663.093316406032,4696.001953125,179100
2025-01-30,4763.111648632099,4763.111648632099,4674.310594824982,4748.18408203125,237000
2025-01-31,4769.735628969908,4803.549434513065,4685.240934908297,4711.61572265625,245200
2025-02-03,4644.614600833891,4716.88656073633,4580.209478827679,4667.2001953125,251600
2025-02-04,4644.932397102263,4702.674498216074,4630.372920573595,4653.31640625,261800
2025-02-05,4662.754844442573,4752.510606805147,4658.4183715488225,4673.65478515625,218600
2025-02-06,4704.733566546016,4820.456204234902,4703.977476044845,4753.53466796875,428000
2025-02-07,4858.148841366119,5044.9206880638585,4842.336011278841,4860.705078125,430600
2025-02-10,4935.532647706968,4959.689667107797,4879.123535665018,4886.572265625,191800
2025-02-11,4869.247133391979,4904.771243408709,4836.964937125307,4870.5,177400
2025-02-12,4850.32190743829,4993.165721435457,4850.32190743829,4990.62939453125,198900
2025-02-13,5031.752785463567,5051.275168935857,4957.014427345321,4981.27099609375,224400
2025-02-14,5057.590683223705,5057.590683223705,4948.292622763818,5016.775390625,202500
2025-02-18,5080.524108239156,5136.714694931044,5032.6476033603185,5113.72119140625,277900
2025-02-19,5140.315569868348,5140.315569868348,5015.403287107911,5082.61328125,187200
2025-02-20,5082.006280327468,5082.006280327468,4948.560918450145,4990.74853515625,301600
2025-02-21,5184.919349621984,5253.07384066912,4942.831998452589,4963.3095703125,724500
2025-02-24,4976.596482419252,5074.984884657079,4970.738601988497,5021.4296875,350200
2025-02-25,5062.125994394954,5062.125994394954,4924.8020743979705,5006.263671875,359000
2025-02-26,5030.30077846847,5100.9119598190555,4997.481496995662,5006.97900390625,257200
2025-02-27,5014.497306895727,5018.505508986993,4889.724413542918,4891.1962890625,209600
2025-02-28,4911.106568323224,4988.5400390625,4869.29675775542,4988.5400390625,305400
2025-03-03,4988.540273567397,5027.068352342588,4887.1886999696035,4919.06298828125,351900
2025-03-04,4822.862956508742,4940.7441204821735,4764.405068145053,4871.57470703125,389700
2025-03-05,4867.805310707435,4922.3749404236205,4815.722475746054,4890.5302734375,213100
2025-03-06,4789.635589634892,4845.030750940954,4660.586434465763,4670.25341796875,305600
2025-03-07,4662.659754795748,4709.179397213494,4585.655467257273,4657.30810546875,296900
2025-03-10,4567.398127109048,4567.398127109048,4390.767442835709,4435.72216796875,360800
2025-03-11,4384.877826646488,4414.206790010546,4293.20443967435,4338.4384765625,403400
2025-03-12,4399.816902854055,4407.091603658493,4285.850320866983,4385.38671875,305700
2025-03-13,4366.97984115329,4385.386536530907,4264.682954031653,4280.6279296875,319100
2025-03-14,4346.978986803945,4450.123046875,4338.209444936302,4450.123046875,252900
2025-03-17,4458.7434867258635,4591.884137724642,4446.426128637132,4547.69677734375,284200
