Ticker,CSCO,CSCO,CSCO,CSCO,CSCO
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,57.779970739380595,58.179663315787835,57.0975677819349,57.61424255371094,16144300
2025-01-03,57.75165549504682,58.07554964367531,57.280534350772086,57.77128601074219,18859000
2025-01-06,57.8203589283279,58.47796808258437,57.506278173623826,57.68294906616211,18543300
2025-01-07,57.8792535556563,58.154073294620595,57.56517278422906,57.83999252319336,16863800
2025-01-08,57.80072835864602,58.14425675787454,57.19219736499786,58.10499572753906,14400300
2025-01-10,57.70258165032227,57.967587998631714,57.457205817902945,57.653507232666016,17274500
2025-01-13,57.8301742326603,57.83999136264812,57.094046737372025,57.673133850097656,19340700
2025-01-14,57.87925174354934,58.24240692211638,57.6633198159018,58.23259353637695,16715500
2025-01-15,58.752787974461924,59.22390910786153,58.48778163489879,58.870567321777344,19185100
2025-01-16,59.06686946995363,59.33187581283633,58.67426664846711,58.71352767944336,18445700
2025-01-17,59.6361394648381,59.82262748997597,59.086500007517216,59.115943908691406,23876400
2025-01-21,59.35150269687573,60.19559609052891,59.16501468321789,59.90114212036133,18623800
2025-01-22,59.91096415513013,60.617644006637654,59.8618897374632,60.49005126953125,19436600
2025-01-23,60.65690605087796,61.167288240236786,60.24467644262937,61.07895278930664,14212000
2025-01-24,60.91209901762644,61.13784433797278,60.7157975995441,61.07895278930664,17232900
2025-01-27,60.254487183576124,60.323192115268164,57.67313244783619,57.98721694946289,33730300
2025-01-28,57.928321887509924,58.458334537655595,57.83016931666568,58.33073806762695,25473300
2025-01-29,58.84112347734509,59.42021057306266,58.40925962987833,58.44852066040039,17925300
2025-01-30,59.351505279541016,59.9502228868661,59.1355733571253,59.351505279541016,17079000
2025-01-31,59.41039815158946,60.05819022998866,59.341693214800024,59.479103088378906,16554200
2025-02-03,59.07668111606478,60.12688932685825,58.4485196154935,59.91096115112305,20375700
2025-02-04,59.71466215819803,60.45078964844005,59.60669619390045,60.205413818359375,12742700
2025-02-05,60.31337983475127,61.55007237200529,60.16615283892049,61.412662506103516,18997400
2025-02-06,61.65803974370178,61.74637519438884,60.9219122360223,61.11821365356445,15521800
2025-02-07,61.57952142316779,62.08008648096906,61.059322105060374,61.11821365356445,23861000
2025-02-10,61.95248367144399,61.981931314757944,61.2261733680874,61.64822006225586,15816200
2025-02-11,61.37339831060301,61.63840464295338,61.02987366355873,61.27524948120117,17702500
2025-02-12,60.30356286909014,61.402849287574895,60.06800416808487,61.3734016418457,30116300
2025-02-13,64.87736791245241,65.26997073785411,61.55988938877394,62.65917205810547,43257700
2025-02-14,62.61010240587782,63.86642555215431,62.266573971472745,63.670127868652344,23693300
2025-02-18,64.09216811814372,65.02459325249175,63.238257556256215,63.395294189453125,22047500
2025-02-19,63.32659001793036,63.75845386888449,63.10084845095049,63.64067077636719,14164100
2025-02-20,63.758452770441465,64.02346285197075,63.08121310461756,63.47381591796875,14836600
2025-02-21,63.48363047708973,63.758450188825215,62.69842862631854,62.79657745361328,18905800
2025-02-24,63.23825812118333,63.38548511431031,61.981935091281485,62.07027053833008,17287500
2025-02-25,63.40510896237947,63.444369991288355,62.14878599039761,63.08121109008789,22100100
2025-02-26,62.86528952800068,63.58178274547738,62.75731982151265,62.89473342895508,13452300
2025-02-27,63.5719649274936,64.08235083276402,62.57083486450293,62.62972640991211,24695600
2025-02-28,62.74750817824045,62.973257238952485,61.667856013036605,62.92417907714844,26711800
2025-03-03,63.19899593423863,63.67993044726387,62.0211912431846,62.30582809448242,21810700
2025-03-04,62.56102203494596,62.72787579888115,61.45192225678024,62.08989715576172,24588300
2025-03-05,62.060453868868045,62.99288276259927,61.63840714585431,62.77695083618164,14931500
2025-03-06,62.61990725446267,62.83583542570169,61.599142965220345,62.23712158203125,23155100
2025-03-07,61.73655980539961,62.98306571645381,61.039689608527254,62.757320404052734,21154800
2025-03-10,62.30582695858354,62.51194174612239,60.53912182628029,60.91209411621094,27417600
2025-03-11,61.1280228452212,61.22617541932651,59.410392111825985,59.54780197143555,25787400
2025-03-12,59.83243787917437,60.048369794672304,59.13557146260644,59.3416862487793,18935300
2025-03-13,59.29261738152752,59.371139446922804,58.13444312591427,58.56630325317383,16463300
2025-03-14,59.20427622705407,59.49872645564653,58.81167342617227,59.38094711303711,16250700
