Ticker,AXP,AXP,AXP,AXP,AXP
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,296.8026948485492,297.1390676129645,291.4800283568255,295.2494201660156,1930100
2025-01-03,298.1748420222718,300.9019300744703,295.05109266968975,300.5548400878906,1979600
2025-01-06,301.7845415355239,302.60761301016726,297.66912363566996,299.3648681640625,2714000
2025-01-07,301.4672070412933,301.844045892226,294.37678371782147,299.5036926269531,2058800
2025-01-08,299.3846851373647,301.6655406247264,296.36010861026534,300.3267822265625,2061300
2025-01-10,297.926954880854,298.8095543565145,290.7175359091671,290.8563537597656,2685500
2025-01-13,290.0828411415924,295.22960276568284,288.7341865897362,294.54534912109375,2202800
2025-01-14,297.1038660042436,298.0360367442493,294.2577824683338,297.8575134277344,2370900
2025-01-15,302.4588752388827,311.34421601807264,301.67544869486244,309.7178955078125,3099500
2025-01-16,310.0947243678224,311.3838811973887,307.5461292871824,308.8848876953125,2361000
2025-01-17,310.4120305706821,312.77220619643003,308.18077667860706,309.95587158203125,2183500
2025-01-21,314.2994000571747,317.03641465553943,312.37556084866026,315.3009948730469,2779100
2025-01-22,315.65794880725184,320.130382732158,315.0331929071154,319.56512451171875,2927400
2025-01-23,320.8543206706657,323.55166011377673,319.3073202818702,323.1549987792969,3935800
2025-01-24,321.6972226066609,321.7666466577923,311.1161377360085,318.6627197265625,6260100
2025-01-27,315.4794970613644,316.1736468364608,309.2418938745961,313.78375244140625,3099100
2025-01-28,314.00189826100717,315.2216310305381,308.1312079880069,314.3985595703125,2431300
2025-01-29,313.99195075230074,316.81821156870706,311.5227062745547,312.6234436035156,2155400
2025-01-30,314.35889799541764,319.2081712322134,313.36722954748257,316.29266357421875,2517400
2025-01-31,318.2363094493471,318.9602382751719,312.8813061491833,314.8051452636719,2033400
2025-02-03,309.58898470085495,314.358907661018,306.61397926557714,313.892822265625,1997200
2025-02-04,312.62348452046683,314.7158904614426,310.5012994726655,313.1986389160156,1884100
2025-02-05,315.29107933558834,318.03799013373265,312.4747444805627,317.8594970703125,2065700
2025-02-06,320.4080694136962,320.55681362257434,314.5671279507622,317.4826354980469,1730400
2025-02-07,318.15696975308276,318.72222802257323,313.65481686096234,314.13079833984375,1607100
2025-02-10,315.79681548108704,315.79681548108704,303.4604581094973,307.675048828125,3227000
2025-02-11,305.9594401158093,307.9229543776217,303.78768397061765,306.99078369140625,1856100
2025-02-12,304.2934613816116,305.3941988037771,301.3779537994997,303.8471984863281,2238400
2025-02-13,304.98765115627066,307.05033869252696,303.33158162138085,304.9380798339844,1975200
2025-02-14,304.86860870521633,309.25179634557406,304.8587126002804,308.44854736328125,1725500
2025-02-18,310.7790092255929,311.07649767359976,306.4553187801924,310.2434997558594,2024500
2025-02-19,307.79404962533573,309.40054762665085,304.313283780274,307.337890625,2148200
2025-02-20,307.13953105139456,307.37752177770324,296.20143005947114,301.3283386230469,2830300
2025-02-21,302.3993993982551,302.3993993982551,291.4017991980277,292.9388732910156,3280200
2025-02-24,294.63460239605956,296.4890478423062,289.98370514872977,293.0677795410156,2450600
2025-02-25,294.515579592452,295.9237619940481,287.117742024212,290.89599609375,2511700
2025-02-26,292.68103291063096,296.84602212952467,291.2232791181885,293.6330261230469,1899400
2025-02-27,293.5338926631886,298.4922354446614,290.59856221028707,291.7489013671875,2031800
2025-02-28,293.82147018930743,298.5616444386296,292.51246049786585,298.4525451660156,3336300
2025-03-03,298.91858869475584,300.9316742698604,290.6679006155489,293.028076171875,2342500
2025-03-04,289.1407660363137,289.3390815606448,275.26730437883396,281.1082458496094,5901200
2025-03-05,280.6421858438726,283.7361867255324,278.2919363381242,281.8123474121094,2569200
2025-03-06,277.4688199762579,279.8091732532574,272.2427381438551,273.343505859375,2944200
2025-03-07,271.38000927468664,271.8857699012793,262.5045639657272,270.9337463378906,3817000
2025-03-10,265.4795683068455,266.3522414376733,255.30506997451212,259.142822265625,4284100
2025-03-11,255.31493748958073,258.07177442780124,251.42759918195802,253.26219177246094,4925600
2025-03-12,258.01228689325194,260.63030609553493,252.8754516484525,258.5775451660156,5514900
2025-03-13,257.48670694416165,259.33122599776055,251.40778963626857,254.2935333251953,4194000
2025-03-14,257.98251663417943,264.4382873128338,256.8421040780022,263.4168701171875,4336800
