Ticker,COF,COF,COF,COF,COF
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,177.73325151369042,179.89567515110184,174.85989366489352,176.45950317382812,1792900
2025-01-03,177.7332439156813,178.24669972787294,174.98825390942537,178.15782165527344,1886700
2025-01-06,182.6505290149793,183.36146320727195,179.5204508664902,181.20892333984375,2277900
2025-01-07,182.6505252518452,183.05536569929424,178.34543053905233,179.5994415283203,2508300
2025-01-08,178.17756894265545,179.10573382291292,176.61746426023188,177.87147521972656,2355400
2025-01-10,176.83469930767347,176.99268802874005,172.46049394290833,173.08255004882812,4405100
2025-01-13,173.27015270241307,178.23680803522345,172.54934990857672,178.05908203125,4205300
2025-01-14,180.15241114978957,182.71967547638414,178.81942068787893,182.39382934570312,3534500
2025-01-15,188.76258238182362,189.670994956077,185.95835029608915,188.27874755859375,4533900
2025-01-16,187.5974392493965,189.75984766862658,185.13879068511022,186.06695556640625,2802000
2025-01-17,186.61990122576887,190.7373861273573,185.55349998219705,188.56509399414062,3723800
2025-01-21,188.59471019713698,191.69516713383823,188.59471019713698,190.77688598632812,4203700
2025-01-22,194.26243601027852,199.60429580835034,192.8800573310751,198.399658203125,7313500
2025-01-23,199.75242257431222,204.63021516110447,198.36017520359448,201.46063232421875,5094000
2025-01-24,200.0881426261823,202.84300137195441,199.77218023859945,200.96693420410156,4654200
2025-01-27,200.463349726522,201.98394969794273,197.68873879427576,199.9597625732422,2859700
2025-01-28,198.85387826619498,202.21105575488048,198.09357072200484,200.5620880126953,3495400
2025-01-29,199.9893901071217,203.69216604156256,199.9893901071217,201.34214782714844,2906600
2025-01-30,203.45519735148216,206.00270899394772,200.47322425681776,202.04319763183594,2840100
2025-01-31,200.52258219190975,204.01799576428067,200.52258219190975,201.1446533203125,2750900
2025-02-03,197.22464912659888,199.75240824531923,194.63763294106207,198.37991333007812,3049900
2025-02-04,199.90052871492097,200.89781935062933,196.9778126577158,197.59986877441406,3090100
2025-02-05,199.2784665600253,201.43100635675555,196.39522517118326,201.21377563476562,2371900
2025-02-06,203.01085375266598,204.39321731169585,200.9372933474884,204.03775024414062,3633900
2025-02-07,204.33397857943862,204.80792965488118,200.25598341513233,200.6509552001953,1772300
2025-02-10,200.85830448248012,201.03604555443292,195.49669238914066,196.28660583496094,2595500
2025-02-11,194.88448086069906,197.99482140951156,194.86474357211046,196.7704315185547,2048900
2025-02-12,196.6124529625505,196.6223366739877,191.2113361280626,194.06494140625,4601200
2025-02-13,194.72652469595428,196.2668770755365,190.53004529945716,194.82525634765625,3213600
2025-02-14,195.30908685348743,200.6706990616048,195.08198748628416,199.6141815185547,2506300
2025-02-18,201.4364075050004,201.91178455293718,199.06948073294288,200.8422088623047,4548400
2025-02-19,202.03061182636833,208.07172930302443,201.04026568996457,207.79443359375,4670400
2025-02-20,207.97269778547317,208.63622791264882,198.94074546017876,203.38739013671875,3975500
2025-02-21,203.58547276281763,204.36783960090963,197.18782975053037,198.26730346679688,3960700
2025-02-24,199.36660143683852,200.72337096548173,193.90979903216018,197.99002075195312,3057100
2025-02-25,198.02963784607198,198.7129640478341,189.05708835184024,192.0380401611328,4520300
2025-02-26,194.276208609793,197.65329271543476,193.49384177546753,194.87042236328125,3543500
2025-02-27,196.65304629495822,199.5349421658768,194.36533394786136,195.07838439941406,2866800
2025-02-28,196.68276527186208,198.78229442189618,194.8010983875909,198.6139373779297,3699600
2025-03-03,198.36635432664414,200.29752646682095,191.33488999817192,194.28611755371094,3679900
2025-03-04,190.20588787930546,190.80010164116587,179.1833298883292,183.11500549316406,6272100
2025-03-05,183.19422448683562,184.69955484872133,179.85676283543134,184.1548614501953,3509500
2025-03-06,178.05434324147657,180.361851786291,173.86518289158678,174.4296875,5779900
2025-03-07,173.3105959721625,173.82558025998122,166.59604951998836,171.49826049804688,10064400
2025-03-10,166.36824582803663,166.41775104356785,159.15852747017186,162.2880096435547,6937800
2025-03-11,163.5358705837881,166.06124126973413,161.45613754790878,163.80325317382812,5541300
2025-03-12,167.8636785400548,170.60694170670354,165.76414946124623,168.80450439453125,4947900
2025-03-13,170.0325474253879,170.0424454475989,162.6841801785061,164.5163116455078,3388000
2025-03-14,166.98226196114655,170.57722325684577,165.88297714990279,170.21078491210938,3898600
