Ticker,LLY,LLY,LLY,LLY,LLY
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,774.810810427362,781.1733263653878,766.0561033625245,772.3094482421875,1938900
2025-01-03,772.4087009728927,780.021958757584,769.7882925970293,776.1904907226562,1799100
2025-01-06,777.9176260690699,778.9599007617752,757.6984421297038,759.4354858398438,3991100
2025-01-07,759.2369818979778,778.1558661436083,755.9812367490559,767.5648193359375,3576100
2025-01-08,768.1009036299864,786.6922151652025,764.9642650203242,781.3917236328125,3478400
2025-01-10,786.0668802560815,794.0771406827116,779.0492162553046,793.9779052734375,3973100
2025-01-13,788.5185913872906,799.3775982475106,777.8084376346496,791.5757446289062,3683800
2025-01-14,778.4238562578316,778.4238562578316,723.602776411035,739.3949584960938,10373000
2025-01-15,743.454703337783,749.0132189425119,729.8263741572381,741.21142578125,5736900
2025-01-16,741.9657679449085,759.8424378130654,740.8739361986333,751.990966796875,3070300
2025-01-17,742.2933988201013,749.6882542765975,719.6423412125021,720.3470458984375,5560100
2025-01-21,725.8559578136137,737.7770497617926,721.1510607718823,736.8538818359375,5122800
2025-01-22,740.0600535950978,754.740532793439,733.5783699117212,748.3978271484375,3737800
2025-01-23,742.1245991666284,760.9243774414062,738.739872092888,760.9243774414062,3127200
2025-01-24,756.3087613610097,783.4463102210976,754.8595489559846,779.5950317382812,4170600
2025-01-27,772.9447344375279,803.2586055063429,772.9447344375279,802.1865844726562,3915200
2025-01-28,801.26349322533,810.1075609102086,794.1862761793096,799.0301513671875,2808800
2025-01-29,801.0154433310946,803.1296787319674,793.0846069548711,798.1270141601562,1827600
2025-01-30,802.4247856782106,818.5147942621624,799.040058793873,817.1350708007812,2643000
2025-01-31,816.9068048990367,821.2245748349991,805.0254555408047,805.0750732421875,2561600
2025-02-03,798.3155641809476,811.904211969932,795.8142017467127,804.429931640625,2808800
2025-02-04,805.0452844997791,822.9020837407127,799.9731315214741,819.9541015625,4299700
2025-02-05,828.9669635946542,840.6299720811486,824.9072173882438,835.9448852539062,4578900
2025-02-06,833.3045719163503,881.1675425540515,829.4234859595174,863.9261474609375,7138500
2025-02-07,870.0405219831085,882.775489742051,863.1816471657345,871.8073120117188,4426100
2025-02-10,871.2316589010113,873.4848722194085,853.0076026978752,862.4472045898438,3065600
2025-02-11,860.6108248245854,867.7177878886375,854.1291417116374,858.5958251953125,1944200
2025-02-12,850.5856716677484,871.281344074164,849.7717353058466,866.5068969726562,2533400
2025-02-13,870.576478031348,876.9588652190331,861.375090585187,865.405029296875,2472900
2025-02-14,864.1522859547304,868.5272615185086,836.6994811831692,839.4636840820312,3222300
2025-02-18,851.5444187024759,857.8184937010393,846.5132275046396,852.3200073242188,4289400
2025-02-19,852.3001464862302,876.3126870513678,852.3001464862302,862.1139526367188,3205500
2025-02-20,861.9051970050147,875.3084373510894,859.0813381261833,868.1494140625,2990300
2025-02-21,875.6067316370406,889.3083128882065,868.4576610128331,868.7062377929688,3940400
2025-02-24,874.2841682843504,888.0254981198674,865.066983787411,876.3822021484375,3017100
2025-02-25,885.6689829371229,906.807958881607,885.6689829371229,896.666015625,5111300
2025-02-26,893.2556793722855,917.1787061671571,891.4957363560645,909.8009643554688,3032800
2025-02-27,910.5068382071795,920.2311904519316,898.9132445092546,900.0069580078125,3085400
2025-02-28,896.705908154506,915.9755231975306,887.5284126978861,915.388916015625,4071100
2025-03-03,907.6034656821712,930.3035126907444,904.8194180717952,924.4271240234375,3979800
2025-03-04,916.9896972621315,923.8702848543379,897.6504135677237,905.8733520507812,3343500
2025-03-05,899.649009259562,925.1927598741732,896.5070256752134,924.4271240234375,3109500
2025-03-06,915.1800860709744,926.0777132830234,893.1661739117162,907.563720703125,3273100
2025-03-07,900.2356486079183,902.830775368548,856.4861396693543,864.6295166015625,4818100
2025-03-10,849.0487345241462,858.275933384283,821.0789321126157,825.0362548828125,5962900
2025-03-11,822.4907909968241,827.6114358113955,807.0193759689997,819.36865234375,3796500
2025-03-12,810.3105780647314,829.8984399461377,808.6301966490443,817.1812133789062,3014800
2025-03-13,813.5818243641913,816.4354808601162,790.8519788308099,797.0863037109375,3566300
2025-03-14,798.5379779906579,810.5691305765534,795.4456974070337,808.8489379882812,3102300
2025-03-17,812.2991615853081,824.2805494732872,809.9327059368717,820.064697265625,2546600
