Ticker,TMO,TMO,TMO,TMO,TMO
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,517.7294656309932,524.6402299720814,516.6525060811283,521.1200561523438,1816800
2025-01-03,522.8651762639605,535.300546531386,521.2895432485483,530.5438232421875,1515200
2025-01-06,528.4197905584725,543.8069714312139,527.0436146144339,535.6995239257812,1981800
2025-01-07,538.0230509773046,549.8601112472526,536.7865012573144,544.1360473632812,1839300
2025-01-08,542.8696289620067,546.2602200483218,536.7566317056433,543.4180908203125,1837800
2025-01-10,540.2568360612023,555.6140705203231,539.8080724633413,540.8052978515625,2919900
2025-01-13,542.6700756130283,560.759757801609,540.1670302831118,553.9786376953125,2269900
2025-01-14,555.953113692678,559.8423167715578,549.8500996277733,555.4445190429688,2207400
2025-01-15,556.3321294820606,562.2456689963929,542.550466692846,549.9398803710938,3251300
2025-01-16,549.590845718752,560.2511874493377,544.9038742667336,560.1514892578125,1835500
2025-01-17,560.8993686495991,563.4322990202312,557.5586273483162,558.09716796875,2140100
2025-01-21,562.5348094354957,574.7707842582424,560.9991042703841,571.469970703125,2311500
2025-01-22,569.0966030446625,577.9619517556298,568.4184970538288,572.9957885742188,1702500
2025-01-23,574.3519893576811,575.0599804474925,561.0889035248456,573.2550048828125,1246300
2025-01-24,571.7990117898456,575.9674061117557,570.2133968306563,573.2250366210938,1156500
2025-01-27,578.051631519226,582.4693934727268,571.539781499673,582.0206298828125,1727800
2025-01-28,594.2465944679143,595.3435179771623,577.4034441505164,582.6687622070312,2156800
2025-01-29,573.3547678252219,575.4290137427789,565.1276581041514,566.6533813476562,2884300
2025-01-30,588.9612862809207,609.2747624436186,588.3629753980252,605.0565185546875,3349700
2025-01-31,598.2055434577139,603.3711632735831,595.3435116795405,596.0914306640625,2165700
2025-02-03,591.4843251992402,598.744094692111,587.7247658445082,592.1026000976562,2135600
2025-02-04,583.9652585493881,590.2178205233798,575.2494572801045,578.9591674804688,2097400
2025-02-05,587.9840008533972,588.4527284140149,576.2965490692385,580.7640991210938,1348800
2025-02-06,580.3253424985182,582.449437436065,566.7929867314346,571.1209716796875,2034100
2025-02-07,573.1852740889009,575.8777341146449,564.8783690375056,569.8843994140625,1826900
2025-02-10,558.5458905175485,561.7968548757099,542.5005688263597,551.3259887695312,2972000
2025-02-11,548.962578213534,552.4030178757224,540.4761806687379,543.7171630859375,2234300
2025-02-12,537.5942656464639,540.4762007836183,530.7233680584935,536.5072631835938,2062200
2025-02-13,538.5017350053984,538.6812282798362,529.7361453417244,531.1621704101562,1915400
2025-02-14,533.6153113097535,535.968809618131,529.8358487846363,530.3743286132812,1517100
2025-02-18,530.1848401648838,531.5709981068666,519.6042930635117,521.638671875,2969600
2025-02-19,519.7737571395163,531.1221862609602,518.5571714528473,529.3870239257812,1965200
2025-02-20,532.2990177476798,541.8723575024989,532.109542481879,536.3377685546875,1967800
2025-02-21,536.8662649775815,541.114455024889,530.5239258849467,531.0723876953125,1613900
2025-02-24,530.3344127954489,542.111641785324,530.3344127954489,534.0640258789062,1375400
2025-02-25,533.306175642671,539.7482739510816,530.8330760076775,538.052978515625,1888700
2025-02-26,540.2269494049542,542.341062590864,529.476890189713,531.8103637695312,1330500
2025-02-27,528.6291314990459,531.5410733323639,517.6895986704449,521.7781982421875,1539000
2025-02-28,526.7943006508384,528.5793122089029,519.1356168666225,527.4923706054688,2229300
2025-03-03,529.4468413162467,531.0025103557342,518.1881895466475,522.1870727539062,2330300
2025-03-04,521.5688345854479,523.3937131964834,511.0381370706622,515.13671875,2720100
2025-03-05,511.45697862981814,523.4535687904291,510.7389446767046,522.735595703125,1685200
2025-03-06,521.9876665316779,532.5283463281351,519.8935175351083,526.176025390625,1852900
2025-03-07,523.2640845131375,531.501176084643,517.8591398685504,530.2347412109375,1799000
2025-03-10,524.8198630372941,534.7223049046542,523.8923897644746,525.33837890625,2174000
2025-03-11,523.7228308996467,525.2984640819901,507.99659721847286,512.7733154296875,1864100
2025-03-12,515.2563993586225,519.245300997315,510.38993449015317,511.2276306152344,1412300
2025-03-13,510.5793807552156,515.046930859766,506.93951430320914,507.48797607421875,1574500
2025-03-14,509.0150325016161,522.8882116759245,507.72751536157534,521.041748046875,1745600
2025-03-17,521.7203984052777,524.7046138790241,513.6759676388535,518.5665283203125,1670400
