Ticker,UNP,UNP,UNP,UNP,UNP
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,225.9340892513323,226.5628294979098,224.31312275338476,225.08921813964844,3177200
2025-01-03,225.76706656283392,228.28202737982087,224.82396375163827,227.42733764648438,1994500
2025-01-06,228.12487067935263,228.21328376384218,224.88292266825184,225.96356201171875,2798800
2025-01-07,226.93613646576014,228.43921876779893,225.7277794169415,226.48422241210938,2752700
2025-01-08,225.6000583266128,228.0167873790747,224.98113680298317,227.74171447753906,2062800
2025-01-10,224.79449279613493,225.9635451367867,220.786268371425,221.2480010986328,2711300
2025-01-13,219.79402788128573,223.0261569818148,218.58567084201857,222.77072143554688,2278100
2025-01-14,224.80432311402208,225.5411287819257,223.62543704344623,225.3446502685547,1823400
2025-01-15,228.90095072315333,229.19567597537312,226.38598988619597,226.79859924316406,1892300
2025-01-16,226.2386250236612,230.9934888938028,225.5313053883812,230.75770568847656,2296900
2025-01-17,235.05081625339463,235.05081625339463,228.11502160742833,230.13877868652344,3643700
2025-01-21,231.44537892752507,233.16459204955535,230.85594342275252,232.56532287597656,2630500
2025-01-22,232.56531938641598,232.83057360427543,230.04053994864202,231.6516876220703,2757500
2025-01-23,242.3108233979283,245.27769848421914,237.80157620737484,243.6862030029297,5226200
2025-01-24,243.12621800791422,246.0930930273381,241.3873674250842,244.40335083007812,4048500
2025-01-27,246.22080436658058,252.32154674135674,245.60188282494994,249.94412231445312,4537400
2025-01-28,249.53152137767586,251.77140942546006,244.43282371957366,244.77667236328125,3167200
2025-01-29,245.30716043312822,248.53928964345735,244.67842020536546,245.15980529785156,3026900
2025-01-30,244.99280667436827,247.2032237255523,242.72344756694199,245.52330017089844,2490500
2025-01-31,244.29527903979724,247.60598762377668,243.30305282958705,243.43075561523438,2987200
2025-02-03,237.96857957274304,242.35012389551005,232.89936794491837,238.74468994140625,3962300
2025-02-04,238.42048460313595,241.2105183760125,238.07663597330045,239.2162322998047,2895100
2025-02-05,239.93339895960122,240.91580653916515,238.72504183403558,240.1790008544922,2436900
2025-02-06,241.04350356298727,241.41682320798364,238.4990717487247,239.22604370117188,1574500
2025-02-07,239.69761471782533,239.8253175011976,236.55389868100266,237.8212127685547,2185500
2025-02-10,239.48148565627355,240.19863894949987,237.33001078624548,240.03163146972656,2315000
2025-02-11,240.48353040368457,243.62724646229913,239.56989860477347,243.37181091308594,2584800
2025-02-12,239.06888053408875,244.8454266680937,239.06888053408875,244.13809204101562,2656900
2025-02-13,244.78647308589797,247.4094992918009,242.99849924468623,246.5548095703125,2279800
2025-02-14,247.0656710604299,248.74557951455716,244.71771770188755,244.83560180664062,1696300
2025-02-18,245.6018819882074,247.35056618873548,244.06932864305688,246.7512969970703,1709300
2025-02-19,245.25803975416443,245.85730896145992,240.10040009788926,242.71360778808594,2488500
2025-02-20,242.2420598469369,243.37182255367355,241.0238690664397,243.29322814941406,1425400
2025-02-21,242.428717252837,243.38165378319871,237.55596917004874,241.2301788330078,3292500
2025-02-24,240.9256277436087,241.6722520689219,237.9587528095298,238.0668182373047,5576700
2025-02-25,238.6169559803223,242.51711493665155,238.49907187777492,241.56417846679688,2911600
2025-02-26,241.60347259491053,243.5977736383972,240.47370995054746,241.16139221191406,2477000
2025-02-27,240.6800420681763,242.9494012139119,239.48150360318473,240.75863647460938,3012400
2025-02-28,241.93410005112221,244.09740347155545,239.53373219410295,243.68252563476562,3252600
2025-03-03,245.3124178352481,246.65583831886937,240.79813975040378,242.81326293945312,2218000
2025-03-04,240.69934420003548,241.04508327425592,237.91373150294993,238.5755615234375,3037800
2025-03-05,238.87190475970343,242.062522609485,238.2495804614349,240.64007568359375,3051700
2025-03-06,240.333861829541,242.4872775794749,238.9015422165488,242.27984619140625,2311100
2025-03-07,243.0898388928096,247.27815319886,241.97362531346016,246.2705841064453,2835800
2025-03-10,244.60118572611103,248.19680879495473,243.11947267456392,245.2630157470703,2420700
2025-03-11,244.4332575232716,245.0654544824714,234.5354102211073,234.8811492919922,3357900
2025-03-12,233.80444606209664,235.49359051603037,231.16699861421972,234.59469604492188,1927500
2025-03-13,234.2588186852488,235.18736124123635,230.67308348369266,231.43368530273438,2399900
2025-03-14,232.7672431958335,234.84164751036357,232.04614705984585,234.6342010498047,2116800
