Ticker,SO,SO,SO,SO,SO
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,80.1866352184002,80.30274484035023,79.16095346961646,79.41253662109375,2653100
2025-01-03,79.60605790258616,80.31242342917375,79.44156434925459,79.6544418334961,4648000
2025-01-06,79.37383071431088,79.71249608123232,77.85466831210506,78.3384780883789,5375500
2025-01-07,78.48362044067598,79.4415617055322,78.34815429745798,78.46426391601562,4533300
2025-01-08,78.88035001608836,80.36081427043399,78.6771507770257,80.33177947998047,7807500
2025-01-10,79.6350913847725,80.24468903954468,78.57070398101767,78.68682098388672,5002300
2025-01-13,79.09322175972535,79.30609924677256,77.89337555732926,79.2190170288086,3555600
2025-01-14,79.34481216998569,79.5770388214734,78.77392011375507,79.39319610595703,3693200
2025-01-15,80.215669625776,80.51562935179834,79.34481047337829,79.67379760742188,4113300
2025-01-16,79.44156691933783,81.21231254206846,79.30610076722908,81.1736068725586,4452800
2025-01-17,80.97041107407338,81.7541806133796,80.65109482385532,81.18328857421875,5407000
2025-01-21,81.4542183148013,82.70244848608579,81.37680697494993,81.98641204833984,5647500
2025-01-22,81.55097388821366,81.82190617902879,79.78990661556408,79.84796142578125,5195000
2025-01-23,79.84797320285008,80.21567340806227,79.47060211607614,79.59639739990234,5846700
2025-01-24,79.43188797503967,81.19296270205079,79.39318968821334,80.77688598632812,6574400
2025-01-27,81.19296542089971,83.84424109837697,80.18664013563165,83.6990966796875,7700200
2025-01-28,83.35074740149025,83.48621354782914,80.82525978676325,80.8349380493164,6138500
2025-01-29,81.16392239357087,81.71546522273074,80.01246018883248,80.1479263305664,5771800
2025-01-30,81.08652416733757,82.34442519829317,80.79623533892774,82.179931640625,6408100
2025-01-31,81.77353090798836,81.99607927219623,80.72850001365624,81.23165893554688,4685500
2025-02-03,80.81558907152625,81.64774255238015,80.3124301070423,81.25102233886719,6165300
2025-02-04,80.98975307148456,81.17360314763197,80.09954486066259,80.50594329833984,4716200
2025-02-05,81.16392197845646,81.46388904706258,80.53497520177328,81.15425109863281,4161500
2025-02-06,81.50259822754855,81.50259822754855,80.21566244981857,81.07684326171875,3339000
2025-02-07,80.88330661327211,81.9186665160695,80.4672373351244,81.84125518798828,5077900
2025-02-10,81.95737304575755,82.76049904513602,81.4542141272941,82.74114990234375,4141600
2025-02-11,82.47988471254638,83.72811476250277,81.56064913380418,83.65070343017578,4376900
2025-02-12,82.69276147881719,84.05710851560828,82.2476573952661,83.9990463256836,4723000
2025-02-13,83.9797023715305,84.2119289985216,83.24430943998205,83.97002410888672,4396300
2025-02-14,84.20225081255913,84.64736230636188,82.71212318752039,82.80888366699219,4390800
2025-02-18,82.84791869714186,83.82374811066535,82.62347465623692,83.8139877319336,4207600
2025-02-19,83.92132337171586,84.51657986564908,83.31630649977095,84.38972473144531,5049800
2025-02-20,82.4575811048861,86.8488132347321,82.4575811048861,85.69733428955078,9109200
2025-02-21,85.43386741729277,86.82930376475757,84.99473971788811,86.26332092285156,5347900
2025-02-24,86.73170995881644,87.46358197140935,85.94129056761196,86.74147033691406,5476400
2025-02-25,87.06349860251083,87.85391801907434,86.78050718849723,87.67826843261719,4871100
2025-02-26,87.21963591774939,87.29770406265611,86.09743797591442,86.60486602783203,5241800
2025-02-27,86.11694889982127,86.91712875043936,85.8241970870392,86.1559829711914,5155700
2025-02-28,87.17083983996311,87.62948083732908,86.19501046513756,87.61972045898438,6142200
2025-03-03,87.44407215285459,88.65409851074219,87.18059404860463,88.65409851074219,5725400
2025-03-04,89.19080483055174,90.09832643149834,87.59044527866548,87.71730041503906,8846200
2025-03-05,87.05374052805105,88.010056622958,86.24380033323024,86.50727844238281,4595700
2025-03-06,86.11694340850248,87.00495172432574,84.98497774591291,86.5755844116211,5368300
2025-03-07,86.40969877801346,89.55186328058811,86.38041764140053,89.19081115722656,6728000
2025-03-10,89.23959219710244,91.22053205620001,88.99563485654723,90.71309661865234,7370100
2025-03-11,90.26421796122082,90.43986754802594,87.78561043407639,87.92222595214844,6760600
2025-03-12,87.25866410844162,87.44407407885033,86.16573993336935,86.53655242919922,4536200
2025-03-13,86.95615689664233,87.8246444517327,86.53654996424011,87.46358489990234,3587200
2025-03-14,87.20011475795214,88.35159373426077,86.63413192578626,88.1954574584961,2990800
