Ticker,JPM,JPM,JPM,JPM,JPM
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,235.9256761701603,238.23675347379177,234.48614838250796,235.02474975585938,9220900
2025-01-03,238.83412584289502,239.8036083847427,235.27937146525915,238.2367706298828,9491100
2025-01-06,239.88059581847392,241.83941284498218,236.80949899026749,237.0752716064453,9917800
2025-01-07,238.34504591508428,241.41614272410112,237.12447448141728,239.35890197753906,8753400
2025-01-08,238.94548506982153,240.421976223703,236.7307483389993,239.3195343017578,8675300
2025-01-10,239.28014642276608,239.98886335933202,234.99833120229488,236.11061096191406,10256800
2025-01-13,235.9137740589649,240.7074442576627,235.25427642531838,240.38262939453125,10005300
2025-01-14,238.8568944878796,243.83758881212796,238.3942594005622,243.5915069580078,12407400
2025-01-15,246.47558427174647,249.69433919695268,239.86090269206412,248.39503479003906,18448500
2025-01-16,250.0191700123843,253.01153384400604,248.3753449882823,250.28494262695312,15292300
2025-01-17,250.1569692778846,256.5354067376623,248.1883144429222,255.09829711914062,17678100
2025-01-21,255.9940227277619,260.10850386711076,255.43294892531785,258.9076232910156,13712100
2025-01-22,258.7796688134332,259.2521567820625,256.1712071975693,258.7206115722656,9021900
2025-01-23,260.54162870024055,262.67760239191387,259.67541575937634,261.7818908691406,10749700
2025-01-24,259.55732988070605,262.913890376841,258.88799436692057,260.6893005371094,7666300
2025-01-27,260.02977836567374,261.80155564195655,258.1497094566725,261.6834411621094,7522300
2025-01-28,261.6834562601186,263.14024164800065,260.6794230449138,262.9532470703125,7375400
2025-01-29,263.0221085895397,266.4377257710217,261.44717878691085,262.4019775390625,7684900
2025-01-30,264.4198785229307,265.473116067307,262.4413708045233,264.0261535644531,8753500
2025-01-31,265.01049259915686,266.5755696542428,262.7760500420943,263.1107177734375,7193800
2025-02-03,257.72642625482933,263.96708831653945,257.59848892765325,262.6283874511719,8381400
2025-02-04,265.6109389686158,265.6109389686158,262.6481034697921,263.74072265625,5626000
2025-02-05,264.6954835634121,266.39838077199465,264.12455685194567,266.191650390625,5704400
2025-02-06,268.1800329702387,272.6390352369144,266.93977073735846,272.5602722167969,7264400
2025-02-07,272.9244711504969,274.1844091306425,270.40459519020567,271.4775085449219,6857900
2025-02-10,271.8220440844745,271.8515727090942,265.36485782708667,266.7921447753906,8627400
2025-02-11,266.0243265133115,271.8909092690704,265.4337240792701,270.68017578125,7196400
2025-02-12,269.78447219399146,272.117353638412,268.9674935735268,271.1330261230469,6683900
2025-02-13,271.1822241296935,272.6291867449517,269.51870826455684,271.9893798828125,8398700
2025-02-14,273.0229011658313,274.85376585107855,272.11733672996746,272.255126953125,5688600
2025-02-18,272.4224928221831,275.5821757361664,271.6940700339416,275.5625,7919800
2025-02-19,274.0170835183605,275.8577710649427,272.87526005839027,274.8734436035156,7007200
2025-02-20,274.31237611058543,274.37143335649915,261.5751760608188,262.6185607910156,13846700
2025-02-21,264.1147359559171,264.98094887675643,258.72061097387393,260.0986633300781,12835600
2025-02-24,261.3290936687731,262.81543777965055,254.55691578411952,257.244140625,10372800
2025-02-25,258.120209112606,258.8781304675106,249.37937617494492,253.3658905029297,9608400
2025-02-26,253.12962668510175,256.82085427318486,252.90322057888935,254.7340850830078,5943600
2025-02-27,256.1022849558997,259.50807924500594,253.81863827447617,254.989990234375,8204400
2025-02-28,256.6437114496689,260.6597543003171,253.84822504631072,260.50225830078125,10467100
2025-03-03,259.86246269904575,262.14610973219465,253.77932589529357,256.5354309082031,9058300
2025-03-04,251.27912328234285,253.19857392522815,242.09534589460884,246.3279571533203,13465600
2025-03-05,247.31228013130092,249.0840726048274,243.94588194142335,247.587890625,7861400
2025-03-06,244.2214723981126,245.45188165105145,240.0282430711689,242.6760711669922,9983200
2025-03-07,241.3866274873343,242.85328086252775,235.66768714230088,238.4828643798828,20498700
2025-03-10,232.50799254508934,233.78760620871546,225.1156838157023,228.5805206298828,18887200
2025-03-11,228.11789292464056,229.66329427384025,223.1371982913278,225.54879760742188,18143000
2025-03-12,230.3326042502056,230.64759621758355,223.69823237883307,224.3282012939453,16054000
2025-03-13,225.70629207243212,225.90315456267533,220.71574458573545,221.66070556640625,16467900
2025-03-14,224.54477159902027,229.4860995707607,224.013241388188,228.7970733642578,11962100
2025-03-17,227.55681711117487,231.97645285477932,226.84811515145265,230.2637176513672,9586000
