Ticker,FDX,FDX,FDX,FDX,FDX
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,276.4421824038163,276.87421775038746,268.11571841035214,269.3136291503906,1278200
2025-01-03,269.6278768011429,270.904325966091,266.87855788163614,269.4413146972656,1181100
2025-01-06,270.88466619431415,273.6536118560739,267.4382119139324,269.0092468261719,1651000
2025-01-07,269.08778894506395,272.9662786310369,268.4790200245313,270.0205993652344,1517900
2025-01-08,270.04021617057987,271.9058369399753,269.1172343051941,269.9223937988281,1965600
2025-01-10,269.5394967834906,269.5394967834906,265.55301301257134,265.82794189453125,1475600
2025-01-13,263.638286341108,270.2267803767888,263.3633574831884,269.6180114746094,1367700
2025-01-14,270.0205846905129,272.9269796846188,269.30379198738996,272.5931396484375,1360900
2025-01-15,275.4209924176633,275.99047718530073,271.27740267003475,271.581787109375,1848000
2025-01-16,271.5916094284136,272.92696952342277,268.7637527978103,272.34765625,1417600
2025-01-17,271.83708719027794,272.4360275462174,269.7260232010698,270.1187744140625,1581800
2025-01-21,270.50172351877916,273.26084076306273,267.9193398428484,270.5802917480469,1465200
2025-01-22,269.30379083874567,269.8438499848217,264.5318050910403,265.5333251953125,1958300
2025-01-23,265.70028074500715,266.4170435355115,263.2258909377878,265.1405944824219,1758700
2025-01-24,265.11108614724884,268.5477113380465,264.64959528017056,268.3415222167969,1544500
2025-01-27,268.88158275893073,276.7956381546726,268.88158275893073,276.4323425292969,1552900
2025-01-28,275.8923197727097,275.9806865513447,273.0350074035195,273.6044921875,1043200
2025-01-29,273.60449072324866,274.32128343278265,270.03041562481366,270.0794982910156,1078400
2025-01-30,260.20165133155666,266.20100332434225,258.5324212049403,264.3648681640625,2827400
2025-01-31,265.20931652177734,266.08318574697824,259.0135738266536,260.0740051269531,2341200
2025-02-03,252.8767565086382,254.10412287948566,242.252666010983,242.86143493652344,3774700
2025-02-04,244.5110204304638,246.72027987359914,242.50795014515467,246.40606689453125,2185700
2025-02-05,245.95439725530818,248.21273930053454,244.00042467806986,247.83963012695312,1535000
2025-02-06,248.89024968092295,254.99764072042845,248.4091316683367,254.08445739746094,2539700
2025-02-07,254.2514061665406,254.55579063567447,250.2550939879119,251.44317626953125,1392900
2025-02-10,252.4643585490065,254.06484915645012,249.47941000532361,253.5542755126953,1216300
2025-02-11,253.91757951973233,257.364004167038,252.36617153216895,256.5294189453125,1414800
2025-02-12,253.38731019332033,258.6993550241611,253.22040516041787,257.8941955566406,1952700
2025-02-13,257.51129919078636,260.28021501525717,257.29528150582763,258.355712890625,1303500
2025-02-14,259.6027050964152,263.618643877472,259.6027050964152,262.9214782714844,1265000
2025-02-18,264.0801393325545,264.5612573228587,260.65331232151937,262.6072998046875,927600
2025-02-19,261.50755015021235,263.6775552603604,259.5634211830163,262.03778076171875,957200
2025-02-20,261.66466852213006,263.9819516949897,260.2900242492461,263.5989990234375,707100
2025-02-21,263.2160668841447,263.2160668841447,240.02374375562758,249.58738708496094,4331300
2025-02-24,249.89179695326138,251.2860833741183,247.0639399968756,248.9491729736328,1451600
2025-02-25,250.05871366472368,252.04214191933,248.96881172579393,251.83595275878906,1330300
2025-02-26,252.20904368742038,254.1924868987449,248.6742375673108,251.48245239257812,1096200
2025-02-27,252.523252421809,256.8239488606085,250.90313485013755,253.858642578125,1174400
2025-02-28,255.03689329599982,259.67142972835757,253.5051425227204,258.1396789550781,1963300
2025-03-03,258.84664475111515,260.2016619739073,252.49379542809567,254.08445739746094,1225400
2025-03-04,250.77548574631925,251.11915431609566,242.360669871573,243.2541961669922,2334500
2025-03-05,243.59784019371298,247.6923323641402,243.0283404337916,245.87583923339844,1370600
2025-03-06,244.01022223525928,245.35542582342907,240.56378322439681,245.2670440673828,1902700
2025-03-07,245.12959337484716,249.3419229398435,243.36219787491748,249.32228088378906,1569300
2025-03-10,247.72292411388915,249.01623045919845,240.03218631000524,243.36911010742188,1657900
2025-03-11,242.717541477028,243.96148193414157,238.69939160107506,239.86436462402344,1966000
2025-03-12,240.41723086051826,241.17740917528576,236.44844686628355,240.4073486328125,1703100
2025-03-13,240.64428699289206,243.07294980994354,236.64588659613597,237.90957641601562,1565400
2025-03-14,238.91659547053362,239.82487162906065,236.63603037861435,239.11404418945312,1431800
2025-03-17,240.17041147155328,243.6455510076306,238.60065879875188,242.17454528808594,1269700
