Ticker,UNH,UNH,UNH,UNH,UNH
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-01-02,499.123742482965,503.16191427474064,494.496048463041,495.6947326660156,4234900
2025-01-03,497.50260818554506,507.26890007413374,496.5495556893942,504.0364074707031,3019500
2025-01-06,504.0363952742697,511.20883101055455,500.9119663360643,504.6946716308594,4444800
2025-01-07,509.78415751891134,510.4228241159664,502.2875009964179,505.2645568847656,3914500
2025-01-08,505.5102222711985,515.502506666548,500.6074213528116,515.3551635742188,4141700
2025-01-10,517.438089287707,526.0941506893294,509.4107996574628,511.592041015625,5467500
2025-01-13,525.6912415075946,537.835321196895,523.8244761283819,531.6846923828125,6472500
2025-01-14,530.2207556909614,535.0351023380177,527.1748858020632,534.2392578125,3978300
2025-01-15,527.7152871865876,536.7447137329609,524.9937278685735,533.9248657226562,4103900
2025-01-16,521.0832335474956,530.4074662800331,501.0888306643477,501.66851806640625,9059900
2025-01-17,496.7853204611162,512.7022706083878,494.0145869937026,500.8529968261719,7495700
2025-01-21,505.0680456189665,515.8267293972774,503.85955647150394,515.81689453125,5682100
2025-01-22,512.5450208405119,515.2764747516006,506.9839442721229,510.638916015625,3756100
2025-01-23,518.6466021608596,522.1935107818407,510.24600701743685,520.513427734375,4580800
2025-01-24,518.8823622282673,525.2884579848118,515.3452887250048,523.2055053710938,3671200
2025-01-27,530.5449481161436,542.2664888660504,530.5449481161436,534.0231323242188,4263000
2025-01-28,533.521988791191,536.9509983807366,528.4423410597733,533.001220703125,3162700
2025-01-29,532.2643931552034,533.9838156010788,524.6793126360872,528.6978149414062,2737600
2025-01-30,530.0438414650071,537.550362556123,525.6519743150479,536.0372924804688,2924700
2025-01-31,533.748003711706,539.5645472598717,531.9499623560964,533.0111083984375,4120500
2025-02-03,532.5296744453888,544.2315455179174,531.615931462233,538.6016845703125,4083600
2025-02-04,535.6738018119185,539.2207103490784,532.0482743133374,535.91943359375,2869900
2025-02-05,521.4565671943651,531.252393163102,512.7906713317382,530.3779296875,4621600
2025-02-06,528.4915608917237,529.6803804032652,516.09207263893,520.7786865234375,3926800
2025-02-07,519.9534173761092,523.0876816100231,516.2099910626373,517.8213500976562,3349100
2025-02-10,518.4500595939717,524.8266508967764,514.2350399112776,524.0504760742188,3143100
2025-02-11,525.6519663067453,537.9728337974307,519.0395785186997,524.5908203125,2631900
2025-02-12,530.4172288242012,532.8735465643683,516.3278238490719,518.184814453125,3859200
2025-02-13,521.6236052659367,524.9936656601727,517.8899547126128,521.898681640625,2835100
2025-02-14,519.7568573756341,523.8834833598796,513.7732407031735,514.36279296875,3705300
2025-02-18,502.01239771561944,506.98398243141224,488.31596757444163,491.9808044433594,8759300
2025-02-19,492.57029702453684,502.91630617082717,489.44586804801554,502.11065673828125,4380300
2025-02-20,496.3628550706211,499.5462331964023,491.4993340590361,493.6412658691406,4144300
2025-02-21,431.86976634325674,461.4929818148895,430.83812490222397,458.2702941894531,19864900
2025-02-24,458.5257455974817,459.82268858203355,449.01489034613104,453.4559020996094,6919300
2025-02-25,452.7190012679868,462.5344673905786,442.20597928405886,462.1611022949219,9101000
2025-02-26,456.5311918597183,464.78441315650093,450.193910321272,455.4897155761719,5108400
2025-02-27,458.02467011655074,467.0933760341543,456.8947399672392,460.3728942871094,4216800
2025-02-28,458.8401343040754,468.0365731387544,456.36417692189553,466.6610412597656,6146300
2025-03-03,466.08138798547094,468.9307106541379,457.0814359127576,458.8892822265625,5700200
2025-03-04,461.5421019102342,470.83679981386297,458.30957937883267,466.3171691894531,5864100
2025-03-05,462.83905728904074,470.7090791253475,462.7801080606301,467.66326904296875,3637100
2025-03-06,467.6829012648226,479.591124961717,463.7527928508325,479.1981201171875,4964000
2025-03-07,475.37604251018644,491.18492890150753,474.92408846936166,484.8574523925781,5434100
2025-03-10,485.7455259952085,491.2415976296622,471.3689194115442,473.8456115722656,5108900
2025-03-11,476.0953296628606,480.3086391491216,470.80649237179273,479.5883483886719,4101000
2025-03-12,476.72683766986046,481.12762741599886,472.46417391205927,474.7237548828125,3680800
2025-03-13,473.08582633647853,477.63461906547167,468.6948832797043,475.1283264160156,2876600
2025-03-14,474.6152477475916,482.95309522599143,471.89187411204506,482.1636962890625,3915900
2025-03-17,481.0388599741876,493.9649480448277,479.4995696373405,492.39605712890625,5152300
